#             R [au]        psi_0 [a.u.]
    0.000000000000E0    0.000000000000E0
   6.666888896297E-4  1.233082353288E-18
   1.333377779259E-3  1.972931604145E-17
   2.000066668889E-3  9.987964980679E-17
   2.666755558519E-3  3.156689610346E-16
   3.333444448148E-3  7.706759999860E-16
   4.000133337778E-3  1.598073311718E-15
   4.666822227408E-3  2.960627135697E-15
   5.333511117037E-3  5.050697283100E-15
   6.000200006667E-3  8.090236991815E-15
   6.666888896297E-3  1.233079275913E-14
   7.333577785926E-3  1.805350415209E-14
   8.000266675556E-3  2.556910359563E-14
   8.666955565186E-3  3.521791613826E-14
   9.333644454815E-3  4.736985919558E-14
   1.000033334444E-2  6.242444227141E-14
   1.066702223407E-2  8.081076665662E-14
   1.133371112370E-2  1.029875251057E-13
   1.200040001333E-2  1.294430014909E-13
   1.266708890296E-2  1.606950704344E-13
   1.333377779259E-2  1.972911969175E-13
   1.400046668222E-2  2.398084358683E-13
   1.466715557185E-2  2.888534317265E-13
   1.533384446148E-2  3.450624179864E-13
   1.600053335111E-2  4.091012167168E-13
   1.666722224074E-2  4.816652380594E-13
   1.733391113037E-2  5.634794797045E-13
   1.800060002000E-2  6.552985263448E-13
   1.866728890963E-2  7.579065491058E-13
   1.933397779926E-2  8.721173049556E-13
   2.000066668889E-2  9.987741360907E-13
   2.066735557852E-2  1.138749969301E-12
   2.133404446815E-2  1.292947315310E-12
   2.200073335778E-2  1.462298268098E-12
   2.266742224741E-2  1.647764504195E-12
   2.333411113704E-2  1.850337281960E-12
   2.400080002667E-2  2.071037440830E-12
   2.466748891630E-2  2.310915400553E-12
   2.533417780593E-2  2.571051160396E-12
   2.600086669556E-2  2.852554298329E-12
   2.666755558519E-2  3.156563970190E-12
   2.733424447482E-2  3.484248908826E-12
   2.800093336445E-2  3.836807423212E-12
   2.866762225408E-2  4.215467397548E-12
   2.933431114370E-2  4.621486290334E-12
   3.000100003333E-2  5.056151133417E-12
   3.066768892296E-2  5.520778531029E-12
   3.133437781259E-2  6.016714658789E-12
   3.200106670222E-2  6.545335262688E-12
   3.266775559185E-2  7.108045658055E-12
   3.333444448148E-2  7.706280728494E-12
   3.400113337111E-2  8.341504924807E-12
   3.466782226074E-2  9.015212263884E-12
   3.533451115037E-2  9.728926327582E-12
   3.600120004000E-2  1.048420026157E-11
   3.666788892963E-2  1.128261677418E-11
   3.733457781926E-2  1.212578813516E-11
   3.800126670889E-2  1.301535617453E-11
   3.866795559852E-2  1.395299228130E-11
   3.933464448815E-2  1.494039740221E-11
   4.000133337778E-2  1.597930204045E-11
   4.066802226741E-2  1.707146625439E-11
   4.133471115704E-2  1.821867965620E-11
   4.200140004667E-2  1.942276141054E-11
   4.266808893630E-2  2.068556023317E-11
   4.333477782593E-2  2.200895438955E-11
   4.400146671556E-2  2.339485169345E-11
   4.466815560519E-2  2.484518950549E-11
   4.533484449482E-2  2.636193473169E-11
   4.600153338445E-2  2.794708382198E-11
   4.666822227408E-2  2.960266276869E-11
   4.733491116371E-2  3.133072710505E-11
   4.800160005334E-2  3.313336190359E-11
   4.866828894296E-2  3.501268177463E-11
   4.933497783259E-2  3.697083086464E-11
   5.000166672222E-2  3.900998285463E-11
   5.066835561185E-2  4.113234095854E-11
   5.133504450148E-2  4.334013792154E-11
   5.200173339111E-2  4.563563601837E-11
   5.266842228074E-2  4.802112705162E-11
   5.333511117037E-2  5.049893235004E-11
   5.400180006000E-2  5.307140276673E-11
   5.466848894963E-2  5.574091867741E-11
   5.533517783926E-2  5.850988997861E-11
   5.600186672889E-2  6.138075608587E-11
