#             R [au]        psi_0 [a.u.]        psi_1 [a.u.]        psi_2 [a.u.]
    0.000000000000E0    0.000000000000E0    0.000000000000E0    0.000000000000E0
   6.666888896297E-4   3.562526744941E-6   1.009405898912E-5   1.767939628904E-5
   1.333377779259E-3   1.363050548133E-5   3.862048608970E-5   6.764203210593E-5
   2.000066668889E-3   3.053701130194E-5   8.652252812308E-5   1.515387854009E-4
   2.666755558519E-3   5.423113491363E-5   1.536551238771E-4   2.691136044856E-4
   3.333444448148E-3   8.470412479775E-5   2.399923361747E-4   4.203182871096E-4
   4.000133337778E-3   1.219529312046E-4   3.455240574180E-4   6.051315637513E-4
   4.666822227408E-3   1.659760404069E-4   4.702442063984E-4   8.235384249446E-4
   5.333511117037E-3   2.167724718478E-4   6.141478868688E-4   1.075525144898E-3
   6.000200006667E-3   2.743414476930E-4   7.772304513166E-4   1.361077642071E-3
   6.666888896297E-3   3.386822612606E-4   9.594871282498E-4   1.680180826774E-3
   7.333577785926E-3   4.097942173481E-4   1.160912853204E-3   2.032818305636E-3
   8.000266675556E-3   4.876766024325E-4   1.381502184404E-3   2.418972234394E-3
   8.666955565186E-3   5.723286686360E-4   1.621249257436E-3   2.838623239065E-3
   9.333644454815E-3   6.637496245704E-4   1.880147759425E-3   3.291750371324E-3
   1.000033334444E-2   7.619386298477E-4   2.158190913607E-3   3.778331082152E-3
   1.066702223407E-2   8.668947916523E-4   2.455371469750E-3   4.298341205775E-3
   1.133371112370E-2   9.786171625259E-4   2.771681698028E-3   4.851754949707E-3
   1.200040001333E-2   1.097104738894E-3   3.107113384997E-3   5.438544888528E-3
   1.266708890296E-2   1.222356460060E-3   3.461657830920E-3   6.058681960068E-3
   1.333377779259E-2   1.354371207504E-3   3.835305847947E-3   6.712135463161E-3
   1.400046668222E-2   1.493147804387E-3   4.228047758902E-3   7.398873056491E-3
   1.466715557185E-2   1.638685015189E-3   4.639873396454E-3   8.118860758182E-3
   1.533384446148E-2   1.790981545447E-3   5.070772102581E-3   8.872062945952E-3
   1.600053335111E-2   1.950036041563E-3   5.520732728239E-3   9.658442357663E-3
   1.666722224074E-2   2.115847090656E-3   5.989743633181E-3   1.047796009220E-2
   1.733391113037E-2   2.288413220457E-3   6.477792685880E-3   1.133057561060E-2
   1.800060002000E-2   2.467732899226E-3   6.984867263552E-3   1.221624673736E-2
   1.866728890963E-2   2.653804535692E-3   7.510954252239E-3   1.313492966196E-2
   1.933397779926E-2   2.846626479006E-3   8.056040046945E-3   1.408657894049E-2
   2.000066668889E-2   3.046197018712E-3   8.620110551823E-3   1.507114749744E-2
   2.066735557852E-2   3.252514384717E-3   9.203151180388E-3   1.608858662757E-2
   2.133404446815E-2   3.465576747279E-3   9.805146855776E-3   1.713884599795E-2
   2.200073335778E-2   3.685382216995E-3   1.042608201101E-2   1.822187365001E-2
   2.266742224741E-2   3.911928844798E-3   1.106594058932E-2   1.933761600176E-2
   2.333411113704E-2   4.145214621952E-3   1.172470604445E-2   2.048601785006E-2
   2.400080002667E-2   4.385237480055E-3   1.240236134099E-2   2.166702237302E-2
   2.466748891630E-2   4.631995291044E-3   1.309888895476E-2   2.288057113238E-2
   2.533417780593E-2   4.885485867202E-3   1.381427087318E-2   2.412660407611E-2
   2.600086669556E-2   5.145706961168E-3   1.454848859565E-2   2.540505954098E-2
   2.666755558519E-2   5.412656265942E-3   1.530152313396E-2   2.671587425524E-2
   2.733424447482E-2   5.686331414907E-3   1.607335501272E-2   2.805898334144E-2
   2.800093336445E-2   5.966729981832E-3   1.686396426980E-2   2.943432031917E-2
   2.866762225408E-2   6.253849480894E-3   1.767333045675E-2   3.084181710809E-2
   2.933431114370E-2   6.547687366691E-3   1.850143263927E-2   3.228140403080E-2
   3.000100003333E-2   6.848241034258E-3   1.934824939772E-2   3.375300981599E-2
   3.066768892296E-2   7.155507819087E-3   2.021375882756E-2   3.525656160153E-2
   3.133437781259E-2   7.469484997143E-3   2.109793853987E-2   3.679198493766E-2
   3.200106670222E-2   7.790169784886E-3   2.200076566185E-2   3.835920379032E-2
   3.266775559185E-2   8.117559339289E-3   2.292221683734E-2   3.995814054443E-2
   3.333444448148E-2   8.451650757858E-3   2.386226822739E-2   4.158871600737E-2
   3.400113337111E-2   8.792441078658E-3   2.482089551076E-2   4.325084941241E-2
   3.466782226074E-2   9.139927280327E-3   2.579807388450E-2   4.494445842232E-2
   3.533451115037E-2   9.494106282110E-3   2.679377806451E-2   4.666945913299E-2
   3.600120004000E-2   9.854974943869E-3   2.780798228613E-2   4.842576607709E-2
   3.666788892963E-2   1.022253006612E-2   2.884066030472E-2   5.021329222789E-2
   3.733457781926E-2   1.059676839005E-2   2.989178539628E-2   5.203194900306E-2
   3.800126670889E-2   1.097768659753E-2   3.096133035807E-2   5.388164626862E-2
   3.866795559852E-2   1.136528131119E-2   3.204926750918E-2   5.576229234288E-2
   3.933464448815E-2   1.175954909436E-2   3.315556869124E-2   5.767379400048E-2
   4.000133337778E-2   1.216048645118E-2   3.428020526904E-2   5.961605647655E-2
   4.066802226741E-2   1.256808982659E-2   3.542314813117E-2   6.158898347085E-2
   4.133471115704E-2   1.298235560634E-2   3.658436769071E-2   6.359247715204E-2
   4.200140004667E-2   1.340328011707E-2   3.776383388592E-2   6.562643816199E-2
   4.266808893630E-2   1.383085962627E-2   3.896151618091E-2   6.769076562019E-2
   4.333477782593E-2   1.426509034239E-2   4.017738356637E-2   6.978535712815E-2
   4.400146671556E-2   1.470596841478E-2   4.141140456025E-2   7.191010877400E-2
   4.466815560519E-2   1.515348993380E-2   4.266354720853E-2   7.406491513701E-2
   4.533484449482E-2   1.560765093080E-2   4.393377908592E-2   7.624966929226E-2
   4.600153338445E-2   1.606844737819E-2   4.522206729663E-2   7.846426281542E-2
   4.666822227408E-2   1.653587518942E-2   4.652837847511E-2   8.070858578744E-2
   4.733491116371E-2   1.700993021907E-2   4.785267878685E-2   8.298252679950E-2
   4.800160005334E-2   1.749060826283E-2   4.919493392911E-2   8.528597295786E-2
   4.866828894296E-2   1.797790505758E-2   5.055510913178E-2   8.761880988888E-2
   4.933497783259E-2   1.847181628138E-2   5.193316915812E-2   8.998092174409E-2
   5.000166672222E-2   1.897233755355E-2   5.332907830560E-2   9.237219120527E-2
   5.066835561185E-2   1.947946443465E-2   5.474280040673E-2   9.479249948964E-2
   5.133504450148E-2   1.999319242659E-2   5.617429882989E-2   9.724172635514E-2
   5.200173339111E-2   2.051351697256E-2   5.762353648016E-2   9.971975010571E-2
   5.266842228074E-2   2.104043345719E-2   5.909047580020E-2   1.022264475967E-1
   5.333511117037E-2   2.157393720647E-2   6.057507877110E-2   1.047616942402E-1
   5.400180006000E-2   2.211402348787E-2   6.207730691326E-2   1.073253640108E-1
   5.466848894963E-2   2.266068751034E-2   6.359712128730E-2   1.099173294508E-1
   5.533517783926E-2   2.321392442436E-2   6.513448249492E-2   1.125374616762E-1
   5.600186672889E-2   2.377372932197E-2   6.668935067984E-2   1.151856303821E-1
   5.666855561852E-2   2.434009723680E-2   6.826168552871E-2   1.178617038488E-1
   5.733524450815E-2   2.491302314414E-2   6.985144627203E-2   1.205655489472E-1
   5.800193339778E-2   2.549250196095E-2   7.145859168513E-2   1.232970311449E-1
   5.866862228741E-2   2.607852854592E-2   7.308308008907E-2   1.260560145124E-1
   5.933531117704E-2   2.667109769949E-2   7.472486935163E-2   1.288423617285E-1
   6.000200006667E-2   2.727020416392E-2   7.638391688829E-2   1.316559340871E-1
   6.066868895630E-2   2.787584262329E-2   7.806017966320E-2   1.344965915026E-1
   6.133537784593E-2   2.848800770360E-2   7.975361419017E-2   1.373641925168E-1
   6.200206673556E-2   2.910669397274E-2   8.146417653370E-2   1.402585943044E-1
   6.266875562519E-2   2.973189594062E-2   8.319182230996E-2   1.431796526802E-1
   6.333544451482E-2   3.036360805911E-2   8.493650668783E-2   1.461272221046E-1
   6.400213340445E-2   3.100182472219E-2   8.669818438995E-2   1.491011556906E-1
   6.466882229408E-2   3.164654026592E-2   8.847680969374E-2   1.521013052102E-1
   6.533551118371E-2   3.229774896850E-2   9.027233643248E-2   1.551275211007E-1
   6.600220007334E-2   3.295544505034E-2   9.208471799637E-2   1.581796524718E-1
   6.666888896297E-2   3.361962267408E-2   9.391390733357E-2   1.612575471116E-1
   6.733557785260E-2   3.429027594466E-2   9.575985695137E-2   1.643610514939E-1
   6.800226674222E-2   3.496739890935E-2   9.762251891718E-2   1.674900107850E-1
   6.866895563185E-2   3.565098555777E-2   9.950184485974E-2   1.706442688499E-1
   6.933564452148E-2   3.634102982200E-2   1.013977859702E-1   1.738236682600E-1
   7.000233341111E-2   3.703752557659E-2   1.033102930031E-1   1.770280502997E-1
   7.066902230074E-2   3.774046663860E-2   1.052393162779E-1   1.802572549733E-1
   7.133571119037E-2   3.844984676769E-2   1.071848056796E-1   1.835111210122E-1
   7.200240008000E-2   3.916565966609E-2   1.091467106604E-1   1.867894858823E-1
   7.266908896963E-2   3.988789897877E-2   1.111249802405E-1   1.900921857908E-1
   7.333577785926E-2   4.061655829336E-2   1.131195630095E-1   1.934190556935E-1
   7.400246674889E-2   4.135163114031E-2   1.151304071275E-1   1.967699293024E-1
   7.466915563852E-2   4.209311099286E-2   1.171574603261E-1   2.001446390927E-1
   7.533584452815E-2   4.284099126715E-2   1.192006699101E-1   2.035430163105E-1
   7.600253341778E-2   4.359526532223E-2   1.212599827584E-1   2.069648909802E-1
   7.666922230741E-2   4.435592646014E-2   1.233353453250E-1   2.104100919117E-1
   7.733591119704E-2   4.512296792595E-2   1.254267036408E-1   2.138784467085E-1
   7.800260008667E-2   4.589638290782E-2   1.275340033143E-1   2.173697817751E-1
   7.866928897630E-2   4.667616453705E-2   1.296571895332E-1   2.208839223246E-1
   7.933597786593E-2   4.746230588813E-2   1.317962070657E-1   2.244206923864E-1
   8.000266675556E-2   4.825479997881E-2   1.339510002615E-1   2.279799148142E-1
   8.066935564519E-2   4.905363977014E-2   1.361215130531E-1   2.315614112939E-1
   8.133604453482E-2   4.985881816652E-2   1.383076889574E-1   2.351650023510E-1
   8.200273342445E-2   5.067032801579E-2   1.405094710769E-1   2.387905073593E-1
   8.266942231408E-2   5.148816210924E-2   1.427268021008E-1   2.424377445481E-1
   8.333611120371E-2   5.231231318171E-2   1.449596243065E-1   2.461065310110E-1
   8.400280009334E-2   5.314277391161E-2   1.472078795609E-1   2.497966827133E-1
   8.466948898297E-2   5.397953692102E-2   1.494715093218E-1   2.535080145009E-1
   8.533617787260E-2   5.482259477571E-2   1.517504546392E-1   2.572403401077E-1
   8.600286676223E-2   5.567193998521E-2   1.540446561566E-1   2.609934721646E-1
   8.666955565186E-2   5.652756500287E-2   1.563540541124E-1   2.647672222072E-1
   8.733624454148E-2   5.738946222595E-2   1.586785883415E-1   2.685614006846E-1
   8.800293343111E-2   5.825762399562E-2   1.610181982764E-1   2.723758169674E-1
   8.866962232074E-2   5.913204259706E-2   1.633728229487E-1   2.762102793566E-1
   8.933631121037E-2   6.001271025954E-2   1.657424009905E-1   2.800645950917E-1
   9.000300010000E-2   6.089961915642E-2   1.681268706359E-1   2.839385703594E-1
   9.066968898963E-2   6.179276140528E-2   1.705261697224E-1   2.878320103024E-1
   9.133637787926E-2   6.269212906793E-2   1.729402356921E-1   2.917447190275E-1
   9.200306676889E-2   6.359771415049E-2   1.753690055937E-1   2.956764996149E-1
   9.266975565852E-2   6.450950860348E-2   1.778124160834E-1   2.996271541265E-1
   9.333644454815E-2   6.542750432184E-2   1.802704034264E-1   3.035964836149E-1
   9.400313343778E-2   6.635169314501E-2   1.827429034989E-1   3.075842881320E-1
   9.466982232741E-2   6.728206685703E-2   1.852298517891E-1   3.115903667383E-1
   9.533651121704E-2   6.821861718655E-2   1.877311833987E-1   3.156145175111E-1
   9.600320010667E-2   6.916133580691E-2   1.902468330446E-1   3.196565375544E-1
   9.666988899630E-2   7.011021433624E-2   1.927767350605E-1   3.237162230070E-1
   9.733657788593E-2   7.106524433748E-2   1.953208233980E-1   3.277933690521E-1
   9.800326677556E-2   7.202641731850E-2   1.978790316285E-1   3.318877699261E-1
   9.866995566519E-2   7.299372473210E-2   2.004512929447E-1   3.359992189280E-1
   9.933664455482E-2   7.396715797614E-2   2.030375401618E-1   3.401275084283E-1
   1.000033334444E-1   7.494670839356E-2   2.056377057197E-1   3.442724298783E-1
   1.006700223341E-1   7.593236727249E-2   2.082517216840E-1   3.484337738195E-1
   1.013367112237E-1   7.692412584629E-2   2.108795197475E-1   3.526113298928E-1
   1.020034001133E-1   7.792197529363E-2   2.135210312325E-1   3.568048868477E-1
   1.026700890030E-1   7.892590673857E-2   2.161761870917E-1   3.610142325519E-1
   1.033367778926E-1   7.993591125059E-2   2.188449179098E-1   3.652391540006E-1
   1.040034667822E-1   8.095197984472E-2   2.215271539059E-1   3.694794373259E-1
   1.046701556719E-1   8.197410348157E-2   2.242228249339E-1   3.737348678065E-1
   1.053368445615E-1   8.300227306740E-2   2.269318604853E-1   3.780052298771E-1
   1.060035334511E-1   8.403647945423E-2   2.296541896899E-1   3.822903071379E-1
   1.066702223407E-1   8.507671343987E-2   2.323897413181E-1   3.865898823642E-1
   1.073369112304E-1   8.612296576800E-2   2.351384437822E-1   3.909037375165E-1
   1.080036001200E-1   8.717522712829E-2   2.379002251381E-1   3.952316537495E-1
   1.086702890096E-1   8.823348815639E-2   2.406750130872E-1   3.995734114223E-1
   1.093369778993E-1   8.929773943409E-2   2.434627349777E-1   4.039287901079E-1
   1.100036667889E-1   9.036797148933E-2   2.462633178064E-1   4.082975686034E-1
   1.106703556785E-1   9.144417479631E-2   2.490766882207E-1   4.126795249391E-1
   1.113370445682E-1   9.252633977557E-2   2.519027725200E-1   4.170744363893E-1
   1.120037334578E-1   9.361445679403E-2   2.547414966573E-1   4.214820794813E-1
   1.126704223474E-1   9.470851616510E-2   2.575927862412E-1   4.259022300059E-1
   1.133371112370E-1   9.580850814874E-2   2.604565665375E-1   4.303346630274E-1
   1.140038001267E-1   9.691442295155E-2   2.633327624710E-1   4.347791528930E-1
   1.146704890163E-1   9.802625072683E-2   2.662212986270E-1   4.392354732437E-1
   1.153371779059E-1   9.914398157467E-2   2.691220992534E-1   4.437033970235E-1
   1.160038667956E-1   1.002676055420E-1   2.720350882621E-1   4.481826964903E-1
   1.166705556852E-1   1.013971126228E-1   2.749601892310E-1   4.526731432255E-1
   1.173372445748E-1   1.025324927580E-1   2.778973254059E-1   4.571745081441E-1
   1.180039334644E-1   1.036737358355E-1   2.808464197018E-1   4.616865615054E-1
   1.186706223541E-1   1.048208316907E-1   2.838073947051E-1   4.662090729227E-1
   1.193373112437E-1   1.059737701059E-1   2.867801726753E-1   4.707418113741E-1
   1.200040001333E-1   1.071325408111E-1   2.897646755466E-1   4.752845452121E-1
   1.206706890230E-1   1.082971334834E-1   2.927608249301E-1   4.798370421745E-1
   1.213373779126E-1   1.094675377477E-1   2.957685421152E-1   4.843990693943E-1
   1.220040668022E-1   1.106437431762E-1   2.987877480718E-1   4.889703934107E-1
   1.226707556919E-1   1.118257392891E-1   3.018183634518E-1   4.935507801785E-1
   1.233374445815E-1   1.130135155541E-1   3.048603085911E-1   4.981399950796E-1
   1.240041334711E-1   1.142070613868E-1   3.079135035115E-1   5.027378029327E-1
   1.246708223607E-1   1.154063661508E-1   3.109778679224E-1   5.073439680040E-1
   1.253375112504E-1   1.166114191576E-1   3.140533212229E-1   5.119582540180E-1
   1.260042001400E-1   1.178222096669E-1   3.171397825032E-1   5.165804241674E-1
   1.266708890296E-1   1.190387268866E-1   3.202371705473E-1   5.212102411242E-1
   1.273375779193E-1   1.202609599726E-1   3.233454038338E-1   5.258474670501E-1
   1.280042668089E-1   1.214888980295E-1   3.264644005387E-1   5.304918636070E-1
   1.286709556985E-1   1.227225301102E-1   3.295940785370E-1   5.351431919678E-1
   1.293376445882E-1   1.239618452159E-1   3.327343554044E-1   5.398012128269E-1
   1.300043334778E-1   1.252068322969E-1   3.358851484195E-1   5.444656864109E-1
   1.306710223674E-1   1.264574802516E-1   3.390463745654E-1   5.491363724895E-1
   1.313377112570E-1   1.277137779278E-1   3.422179505320E-1   5.538130303858E-1
   1.320044001467E-1   1.289757141216E-1   3.453997927178E-1   5.584954189873E-1
   1.326710890363E-1   1.302432775785E-1   3.485918172316E-1   5.631832967569E-1
   1.333377779259E-1   1.315164569929E-1   3.517939398948E-1   5.678764217430E-1
   1.340044668156E-1   1.327952410082E-1   3.550060762431E-1   5.725745515910E-1
   1.346711557052E-1   1.340796182172E-1   3.582281415285E-1   5.772774435537E-1
   1.353378445948E-1   1.353695771620E-1   3.614600507215E-1   5.819848545024E-1
   1.360045334844E-1   1.366651063341E-1   3.647017185128E-1   5.866965409374E-1
   1.366712223741E-1   1.379661941744E-1   3.679530593152E-1   5.914122589991E-1
   1.373379112637E-1   1.392728290736E-1   3.712139872660E-1   5.961317644790E-1
   1.380046001533E-1   1.405849993720E-1   3.744844162286E-1   6.008548128304E-1
   1.386712890430E-1   1.419026933596E-1   3.777642597947E-1   6.055811591794E-1
   1.393379779326E-1   1.432258992763E-1   3.810534312863E-1   6.103105583360E-1
   1.400046668222E-1   1.445546053120E-1   3.843518437575E-1   6.150427648045E-1
   1.406713557119E-1   1.458887996067E-1   3.876594099968E-1   6.197775327953E-1
   1.413380446015E-1   1.472284702505E-1   3.909760425291E-1   6.245146162351E-1
   1.420047334911E-1   1.485736052838E-1   3.943016536174E-1   6.292537687786E-1
   1.426714223807E-1   1.499241926972E-1   3.976361552653E-1   6.339947438189E-1
   1.433381112704E-1   1.512802204319E-1   4.009794592185E-1   6.387372944987E-1
   1.440048001600E-1   1.526416763795E-1   4.043314769676E-1   6.434811737218E-1
   1.446714890496E-1   1.540085483825E-1   4.076921197494E-1   6.482261341636E-1
   1.453381779393E-1   1.553808242337E-1   4.110612985494E-1   6.529719282821E-1
   1.460048668289E-1   1.567584916770E-1   4.144389241036E-1   6.577183083296E-1
   1.466715557185E-1   1.581415384073E-1   4.178249069010E-1   6.624650263633E-1
   1.473382446082E-1   1.595299520703E-1   4.212191571852E-1   6.672118342564E-1
   1.480049334978E-1   1.609237202629E-1   4.246215849566E-1   6.719584837093E-1
   1.486716223874E-1   1.623228305332E-1   4.280320999749E-1   6.767047262609E-1
   1.493383112770E-1   1.637272703807E-1   4.314506117605E-1   6.814503132994E-1
   1.500050001667E-1   1.651370272562E-1   4.348770295972E-1   6.861949960737E-1
   1.506716890563E-1   1.665520885620E-1   4.383112625340E-1   6.909385257043E-1
   1.513383779459E-1   1.679724416522E-1   4.417532193874E-1   6.956806531948E-1
   1.520050668356E-1   1.693980738323E-1   4.452028087433E-1   7.004211294426E-1
   1.526717557252E-1   1.708289723600E-1   4.486599389592E-1   7.051597052505E-1
   1.533384446148E-1   1.722651244445E-1   4.521245181665E-1   7.098961313375E-1
   1.540051335045E-1   1.737065172474E-1   4.555964542725E-1   7.146301583503E-1
   1.546718223941E-1   1.751531378820E-1   4.590756549624E-1   7.193615368743E-1
   1.553385112837E-1   1.766049734143E-1   4.625620277016E-1   7.240900174447E-1
   1.560052001733E-1   1.780620108623E-1   4.660554797381E-1   7.288153505580E-1
   1.566718890630E-1   1.795242371964E-1   4.695559181041E-1   7.335372866828E-1
   1.573385779526E-1   1.809916393397E-1   4.730632496186E-1   7.382555762714E-1
   1.580052668422E-1   1.824642041678E-1   4.765773808893E-1   7.429699697708E-1
   1.586719557319E-1   1.839419185092E-1   4.800982183151E-1   7.476802176336E-1
   1.593386446215E-1   1.854247691451E-1   4.836256680880E-1   7.523860703299E-1
   1.600053335111E-1   1.869127428096E-1   4.871596361952E-1   7.570872783578E-1
   1.606720224007E-1   1.884058261899E-1   4.907000284217E-1   7.617835922552E-1
   1.613387112904E-1   1.899040059266E-1   4.942467503520E-1   7.664747626106E-1
   1.620054001800E-1   1.914072686131E-1   4.977997073726E-1   7.711605400743E-1
   1.626720890696E-1   1.929156007965E-1   5.013588046742E-1   7.758406753701E-1
   1.633387779593E-1   1.944289889773E-1   5.049239472539E-1   7.805149193057E-1
   1.640054668489E-1   1.959474196096E-1   5.084950399171E-1   7.851830227847E-1
   1.646721557385E-1   1.974708791011E-1   5.120719872801E-1   7.898447368174E-1
   1.653388446282E-1   1.989993538134E-1   5.156546937723E-1   7.944998125320E-1
   1.660055335178E-1   2.005328300619E-1   5.192430636381E-1   7.991480011857E-1
   1.666722224074E-1   2.020712941161E-1   5.228370009395E-1   8.037890541764E-1
   1.673389112970E-1   2.036147321995E-1   5.264364095581E-1   8.084227230533E-1
   1.680056001867E-1   2.051631304902E-1   5.300411931974E-1   8.130487595284E-1
   1.686722890763E-1   2.067164751201E-1   5.336512553851E-1   8.176669154874E-1
   1.693389779659E-1   2.082747521759E-1   5.372664994751E-1   8.222769430015E-1
   1.700056668556E-1   2.098379476988E-1   5.408868286502E-1   8.268785943378E-1
   1.706723557452E-1   2.114060476847E-1   5.445121459241E-1   8.314716219709E-1
   1.713390446348E-1   2.129790380841E-1   5.481423541434E-1   8.360557785941E-1
   1.720057335245E-1   2.145569048027E-1   5.517773559903E-1   8.406308171302E-1
   1.726724224141E-1   2.161396337009E-1   5.554170539848E-1   8.451964907430E-1
   1.733391113037E-1   2.177272105945E-1   5.590613504866E-1   8.497525528482E-1
   1.740058001933E-1   2.193196212542E-1   5.627101476979E-1   8.542987571249E-1
   1.746724890830E-1   2.209168514065E-1   5.663633476651E-1   8.588348575260E-1
   1.753391779726E-1   2.225188867328E-1   5.700208522817E-1   8.633606082900E-1
   1.760058668622E-1   2.241257128707E-1   5.736825632902E-1   8.678757639519E-1
   1.766725557519E-1   2.257373154128E-1   5.773483822843E-1   8.723800793539E-1
   1.773392446415E-1   2.273536799081E-1   5.810182107116E-1   8.768733096572E-1
   1.780059335311E-1   2.289747918612E-1   5.846919498754E-1   8.813552103523E-1
   1.786726224207E-1   2.306006367329E-1   5.883695009377E-1   8.858255372706E-1
   1.793393113104E-1   2.322311999398E-1   5.920507649205E-1   8.902840465952E-1
   1.800060002000E-1   2.338664668552E-1   5.957356427092E-1   8.947304948720E-1
   1.806726890896E-1   2.355064228085E-1   5.994240350540E-1   8.991646390206E-1
   1.813393779793E-1   2.371510530858E-1   6.031158425729E-1   9.035862363454E-1
   1.820060668689E-1   2.388003429295E-1   6.068109657534E-1   9.079950445466E-1
   1.826727557585E-1   2.404542775391E-1   6.105093049555E-1   9.123908217310E-1
   1.833394446482E-1   2.421128420706E-1   6.142107604134E-1   9.167733264233E-1
   1.840061335378E-1   2.437760216372E-1   6.179152322382E-1   9.211423175766E-1
   1.846728224274E-1   2.454438013091E-1   6.216226204201E-1   9.254975545836E-1
   1.853395113170E-1   2.471161661137E-1   6.253328248307E-1   9.298387972876E-1
   1.860062002067E-1   2.487931010358E-1   6.290457452256E-1   9.341658059929E-1
   1.866728890963E-1   2.504745910174E-1   6.327612812463E-1   9.384783414762E-1
   1.873395779859E-1   2.521606209583E-1   6.364793324228E-1   9.427761649974E-1
   1.880062668756E-1   2.538511757160E-1   6.401997981762E-1   9.470590383098E-1
   1.886729557652E-1   2.555462401055E-1   6.439225778204E-1   9.513267236718E-1
   1.893396446548E-1   2.572457989000E-1   6.476475705650E-1   9.555789838572E-1
   1.900063335445E-1   2.589498368307E-1   6.513746755175E-1   9.598155821660E-1
   1.906730224341E-1   2.606583385869E-1   6.551037916856E-1   9.640362824351E-1
   1.913397113237E-1   2.623712888161E-1   6.588348179796E-1   9.682408490493E-1
   1.920064002133E-1   2.640886721243E-1   6.625676532146E-1   9.724290469518E-1
   1.926730891030E-1   2.658104730761E-1   6.663021961133E-1   9.766006416548E-1
   1.933397779926E-1   2.675366761947E-1   6.700383453079E-1   9.807553992506E-1
   1.940064668822E-1   2.692672659619E-1   6.737759993426E-1   9.848930864216E-1
   1.946731557719E-1   2.710022268187E-1   6.775150566762E-1   9.890134704515E-1
   1.953398446615E-1   2.727415431648E-1   6.812554156841E-1   9.931163192355E-1
   1.960065335511E-1   2.744851993594E-1   6.849969746611E-1   9.972014012911E-1
   1.966732224407E-1   2.762331797205E-1   6.887396318232E-1    1.001268485769E0
   1.973399113304E-1   2.779854685259E-1   6.924832853108E-1    1.005317342462E0
   1.980066002200E-1   2.797420500128E-1   6.962278331901E-1    1.009347741817E0
   1.986732891096E-1   2.815029083780E-1   6.999731734564E-1    1.013359454947E0
   1.993399779993E-1   2.832680277780E-1   7.037192040359E-1    1.017352253638E0
   2.000066668889E-1   2.850373923293E-1   7.074658227882E-1    1.021325910361E0
   2.006733557785E-1   2.868109861084E-1   7.112129275089E-1    1.025280198283E0
   2.013400446682E-1   2.885887931520E-1   7.149604159318E-1    1.029214891277E0
   2.020067335578E-1   2.903707974569E-1   7.187081857312E-1    1.033129763932E0
   2.026734224474E-1   2.921569829805E-1   7.224561345247E-1    1.037024591563E0
   2.033401113370E-1   2.939473336405E-1   7.262041598752E-1    1.040899150222E0
   2.040068002267E-1   2.957418333156E-1   7.299521592932E-1    1.044753216710E0
   2.046734891163E-1   2.975404658449E-1   7.337000302398E-1    1.048586568582E0
   2.053401780059E-1   2.993432150286E-1   7.374476701285E-1    1.052398984163E0
   2.060068668956E-1   3.011500646279E-1   7.411949763279E-1    1.056190242554E0
   2.066735557852E-1   3.029609983653E-1   7.449418461640E-1    1.059960123644E0
   2.073402446748E-1   3.047759999244E-1   7.486881769227E-1    1.063708408120E0
   2.080069335645E-1   3.065950529503E-1   7.524338658521E-1    1.067434877478E0
