#             R [au]        psi_0 [a.u.]        psi_1 [a.u.]
    0.000000000000E0    0.000000000000E0    0.000000000000E0
   6.666888896297E-4   3.946470511922E-9   1.431380451761E-8
   1.333377779259E-3   3.157168212079E-8   1.145097101895E-7
   2.000066668889E-3   1.065539660518E-7   3.864661884380E-7
   2.666755558519E-3   2.525708337923E-7   9.160544513454E-7
   3.333444448148E-3   4.932985672375E-7   1.789134822297E-6
   4.000133337778E-3   8.524118088532E-7   3.091553106999E-6
   4.666822227408E-3   1.353583151862E-6   4.909136965002E-6
   5.333511117037E-3   2.020482730459E-6   7.327692281840E-6
   6.000200006667E-3   2.876777810061E-6   1.043299954194E-5
   6.666888896297E-3   3.946132377596E-6   1.431081020238E-5
   7.333577785926E-3   5.252206731841E-6   1.904684306767E-5
   8.000266675556E-3   6.818657073814E-6   2.472678066569E-5
   8.666955565186E-3   8.669135097214E-6   3.143626562479E-5
   9.333644454815E-3   1.082728757894E-5   3.926089705235E-5
   1.000033334444E-2   1.331675596965E-5   4.828622691482E-5
   1.066702223407E-2   1.616117598447E-5   5.859775641938E-5
   1.133371112370E-2   1.938417719364E-5   7.028093239735E-5
   1.200040001333E-2   2.300938261345E-5   8.342114368947E-5
   1.266708890296E-2   2.706040829704E-5   9.810371753322E-5
   1.333377779259E-2   3.156086292550E-5   1.144139159522E-4
   1.400046668222E-2   3.653434739897E-5   1.324369321479E-4
   1.466715557185E-2   4.200445442784E-5   1.522578868936E-4
   1.533384446148E-2   4.799476812410E-5   1.739618249310E-4
   1.600053335111E-2   5.452886359286E-5   1.976337113694E-4
   1.666722224074E-2   6.163030652385E-5   2.233584280876E-4
   1.733391113037E-2   6.932265278324E-5   2.512207701388E-4
   1.800060002000E-2   7.762944800545E-5   2.813054421579E-4
   1.866728890963E-2   8.657422718516E-5   3.136970547734E-4
   1.933397779926E-2   9.618051426949E-5   3.484801210204E-4
   2.000066668889E-2   1.064718217503E-4   3.857390527591E-4
   2.066735557852E-2   1.174716502568E-4   4.255581570952E-4
   2.133404446815E-2   1.292034881478E-4   4.680216328048E-4
   2.200073335778E-2   1.416908111051E-4   5.132135667626E-4
   2.266742224741E-2   1.549570817260E-4   5.612179303746E-4
   2.333411113704E-2   1.690257491167E-4   6.121185760136E-4
   2.400080002667E-2   1.839202484858E-4   6.659992334601E-4
   2.466748891630E-2   1.996640007376E-4   7.229435063469E-4
   2.533417780593E-2   2.162804120659E-4   7.830348686076E-4
   2.600086669556E-2   2.337928735483E-4   8.463566609303E-4
   2.666755558519E-2   2.522247607401E-4   9.129920872155E-4
   2.733424447482E-2   2.715994332687E-4   9.830242110390E-4
   2.800093336445E-2   2.919402344283E-4   1.056535952119E-3
   2.866762225408E-2   3.132704907749E-4   1.133610082790E-3
   2.933431114370E-2   3.356135117214E-4   1.214329224479E-3
   3.000100003333E-2   3.589925891326E-4   1.298775844187E-3
   3.066768892296E-2   3.834309969213E-4   1.387032250982E-3
   3.133437781259E-2   4.089519906437E-4   1.479180592488E-3
   3.200106670222E-2   4.355788070959E-4   1.575302851386E-3
   3.266775559185E-2   4.633346639100E-4   1.675480841918E-3
   3.333444448148E-2   4.922427591507E-4   1.779796206400E-3
   3.400113337111E-2   5.223262709127E-4   1.888330411737E-3
   3.466782226074E-2   5.536083569172E-4   2.001164745943E-3
