#             e [au]            f [a.u.]
   -4.899873208668E1   -1.000000000000E0
   -4.894968428179E1   -1.000000000000E0
   -4.890063647690E1   -1.000000000000E0
   -4.885158867200E1   -1.000000000000E0
   -4.880254086711E1   -1.000000000000E0
   -4.875349306222E1   -1.000000000000E0
   -4.870444525733E1   -1.000000000000E0
   -4.865539745244E1   -1.000000000000E0
   -4.860634964755E1   -1.000000000000E0
   -4.855730184265E1   -1.000000000000E0
   -4.850825403776E1   -1.000000000000E0
   -4.845920623287E1   -1.000000000000E0
   -4.841015842798E1   -1.000000000000E0
   -4.836111062309E1   -1.000000000000E0
   -4.831206281820E1   -1.000000000000E0
   -4.826301501331E1   -1.000000000000E0
   -4.821396720841E1   -1.000000000000E0
   -4.816491940352E1   -1.000000000000E0
   -4.811587159863E1   -1.000000000000E0
   -4.806682379374E1   -1.000000000000E0
   -4.801777598885E1   -1.000000000000E0
   -4.796872818396E1   -1.000000000000E0
   -4.791968037906E1   -1.000000000000E0
   -4.787063257417E1   -1.000000000000E0
   -4.782158476928E1   -1.000000000000E0
   -4.777253696439E1   -1.000000000000E0
   -4.772348915950E1   -1.000000000000E0
   -4.767444135461E1   -1.000000000000E0
   -4.762539354972E1   -1.000000000000E0
   -4.757634574482E1   -1.000000000000E0
   -4.752729793993E1   -1.000000000000E0
   -4.747825013504E1   -1.000000000000E0
   -4.742920233015E1   -1.000000000000E0
   -4.738015452526E1   -1.000000000000E0
   -4.733110672037E1   -1.000000000000E0
   -4.728205891547E1   -1.000000000000E0
   -4.723301111058E1   -1.000000000000E0
   -4.718396330569E1   -1.000000000000E0
   -4.713491550080E1   -1.000000000000E0
   -4.708586769591E1   -1.000000000000E0
   -4.703681989102E1   -1.000000000000E0
   -4.698777208612E1   -1.000000000000E0
   -4.693872428123E1   -1.000000000000E0
   -4.688967647634E1   -1.000000000000E0
   -4.684062867145E1   -1.000000000000E0
   -4.679158086656E1   -1.000000000000E0
   -4.674253306167E1   -1.000000000000E0
   -4.669348525678E1   -1.000000000000E0
   -4.664443745188E1   -1.000000000000E0
   -4.659538964699E1   -1.000000000000E0
   -4.654634184210E1   -1.000000000000E0
   -4.649729403721E1   -1.000000000000E0
   -4.644824623232E1   -1.000000000000E0
   -4.639919842743E1   -1.000000000000E0
   -4.635015062253E1   -1.000000000000E0
   -4.630110281764E1   -1.000000000000E0
   -4.625205501275E1   -1.000000000000E0
   -4.620300720786E1  -9.999999830643E-1
   -4.615395940297E1  -9.999999511643E-1
   -4.610491159808E1  -9.999998612295E-1
   -4.605586379318E1  -9.999996741178E-1
   -4.600681598829E1  -9.999992911575E-1
   -4.595776818340E1  -9.999985574153E-1
   -4.590872037851E1  -9.999973937664E-1
   -4.585967257362E1  -9.999952197591E-1
   -4.581062476873E1  -9.999920441128E-1
   -4.576157696384E1  -9.999871837502E-1
   -4.571252915894E1  -9.999790518721E-1
   -4.566348135405E1  -9.999681986438E-1
   -4.561443354916E1  -9.999546248070E-1
   -4.556538574427E1  -9.999340371271E-1
   -4.551633793938E1  -9.999060353897E-1
   -4.546729013449E1  -9.998726270975E-1
   -4.541824232959E1  -9.998296169687E-1
   -4.536919452470E1  -9.997686120365E-1
   -4.532014671981E1  -9.996982677688E-1
   -4.527109891492E1  -9.996107205572E-1
   -4.522205111003E1  -9.995027743107E-1
   -4.517300330514E1  -9.993843546021E-1
   -4.512395550025E1  -9.992268894455E-1
   -4.507490769535E1  -9.990372489569E-1
   -4.502585989046E1  -9.988322116733E-1
   -4.497681208557E1  -9.985664197454E-1
   -4.492776428068E1  -9.982812107771E-1
   -4.487871647579E1  -9.979494737275E-1
   -4.482966867090E1  -9.975652818848E-1
   -4.478062086600E1  -9.971221709468E-1
   -4.473157306111E1  -9.966131117540E-1
   -4.468252525622E1  -9.960304830970E-1
   -4.463347745133E1  -9.953660446572E-1
   -4.458442964644E1  -9.946109101371E-1
   -4.453538184155E1  -9.938241736635E-1
   -4.448633403665E1  -9.928648196088E-1
   -4.443728623176E1  -9.918661283506E-1
   -4.438823842687E1  -9.906597807670E-1
   -4.433919062198E1  -9.894045045093E-1
   -4.429014281709E1  -9.880058940944E-1
   -4.424109501220E1  -9.864504604394E-1
   -4.419204720731E1  -9.847237218135E-1
   -4.414299940241E1  -9.826817792820E-1
   -4.409395159752E1  -9.805561485677E-1
   -4.404490379263E1  -9.782091362769E-1
   -4.399585598774E1  -9.757765292348E-1
   -4.394680818285E1  -9.729377771786E-1
   -4.389776037796E1  -9.698171648531E-1
   -4.384871257306E1  -9.663918546597E-1
   -4.379966476817E1  -9.628289834954E-1
   -4.375061696328E1  -9.587290298411E-1
   -4.370156915839E1  -9.544569443714E-1
   -4.365252135350E1  -9.495728187873E-1
   -4.360347354861E1  -9.444749097479E-1
   -4.355442574371E1  -9.386838996530E-1
   -4.350537793882E1  -9.326294565253E-1
   -4.345633013393E1  -9.260473553447E-1
   -4.340728232904E1  -9.186388860104E-1
   -4.335823452415E1  -9.108762487104E-1
   -4.330918671926E1  -9.024647557493E-1
   -4.326013891437E1  -8.933600377458E-1
   -4.321109110947E1  -8.835159064127E-1
   -4.316204330458E1  -8.728844658090E-1
   -4.311299549969E1  -8.614162624293E-1
   -4.306394769480E1  -8.490604791711E-1
   -4.301489988991E1  -8.357651786175E-1
   -4.296585208502E1  -8.214776009564E-1
   -4.291680428012E1  -8.061445218375E-1
   -4.286775647523E1  -7.899997758675E-1
   -4.281870867034E1  -7.724108198820E-1
   -4.276966086545E1  -7.536168223897E-1
   -4.272061306056E1  -7.338373559964E-1
   -4.267156525567E1  -7.124747400022E-1
   -4.262251745077E1  -6.897629238832E-1
   -4.257346964588E1  -6.658994024331E-1
   -4.252442184099E1  -6.403577403945E-1
   -4.247537403610E1  -6.135709663289E-1
   -4.242632623121E1  -5.850778106587E-1
   -4.237727842632E1  -5.552702327000E-1
   -4.232823062143E1  -5.239302950605E-1
   -4.227918281653E1  -4.909150603982E-1
   -4.223013501164E1  -4.565515531452E-1
   -4.218108720675E1  -4.207064343756E-1
   -4.213203940186E1  -3.833308586189E-1
   -4.208299159697E1  -3.446863137232E-1
   -4.203394379208E1  -3.047377451448E-1
   -4.198489598718E1  -2.635754833963E-1
   -4.193584818229E1  -2.213054969086E-1
   -4.188680037740E1  -1.780488916996E-1
   -4.183775257251E1  -1.339410319733E-1
   -4.178870476762E1  -8.913027684106E-2
   -4.173965696273E1  -4.377634425558E-2
   -4.169060915784E1   1.951670259300E-3
   -4.164156135294E1   4.787757539321E-2
   -4.159251354805E1   9.382060642049E-2
   -4.154346574316E1   1.395981151823E-1
   -4.149441793827E1   1.850283449208E-1
   -4.144537013338E1   2.299332023266E-1
   -4.139632232849E1   2.741409381774E-1
   -4.134727452359E1   3.174886520564E-1
   -4.129822671870E1   3.598245460104E-1
   -4.124917891381E1   4.009079723904E-1
   -4.120013110892E1   4.407980336399E-1
   -4.115108330403E1   4.793044830581E-1
   -4.110203549914E1   5.161761244487E-1
   -4.105298769424E1   5.516374368136E-1
   -4.100393988935E1   5.854925203952E-1
   -4.095489208446E1   6.174859134033E-1
   -4.090584427957E1   6.480047536423E-1
   -4.085679647468E1   6.768439332909E-1
   -4.080774866979E1   7.037486056585E-1
   -4.075870086490E1   7.292408203548E-1
   -4.070965306000E1   7.528261196974E-1
   -4.066060525511E1   7.750896524485E-1
   -4.061155745022E1   7.955204145419E-1
   -4.056250964533E1   8.147458837893E-1
   -4.051346184044E1   8.322475049081E-1
   -4.046441403555E1   8.486745834615E-1
   -4.041536623065E1   8.635102921898E-1
