#             E [au]         delta_0 [1]         delta_1 [1]         delta_2 [1]         delta_3 [1]
    0.000000000000E0   -0.000000000000E0                 NaN                 NaN                 NaN
   5.000000000000E-2  -2.955129366929E-1  -1.399435179545E-2  -3.449032162428E-5  -2.663032364066E-7
   1.000000000000E-1  -4.176173075078E-1  -3.693130598585E-2  -1.901945808330E-4  -2.949709920082E-6
   1.500000000000E-1  -5.111041824283E-1  -6.366184996570E-2  -5.107979632451E-4  -1.193663065838E-5
   2.000000000000E-1  -5.897424863058E-1  -9.240387039771E-2  -1.021714853135E-3  -3.198405335245E-5
   2.500000000000E-1  -6.588693524005E-1  -1.222386332754E-1  -1.738850247730E-3  -6.837009549235E-5
   3.000000000000E-1  -7.212238121321E-1  -1.526315584111E-1  -2.671827482119E-3  -1.266859239333E-4
   3.500000000000E-1  -7.784339990545E-1  -1.832511706460E-1  -3.825737703281E-3  -2.126910187814E-4
   4.000000000000E-1  -8.315613639340E-1  -2.138839757735E-1  -5.202255453623E-3  -3.322052860326E-4
   4.500000000000E-1  -8.813436077941E-1  -2.443893011855E-1  -6.800419068506E-3  -4.910255693427E-4
   5.000000000000E-1  -9.283181309456E-1  -2.746733834208E-1  -8.617209187785E-3  -6.948596798573E-4
   5.500000000000E-1  -9.728908273674E-1  -3.046736462635E-1  -1.064799416637E-2  -9.492737201268E-4
   6.000000000000E-1   -1.015377180707E0  -3.343487516713E-1  -1.288688176774E-2  -1.259649908007E-3
   6.500000000000E-1   -1.056028183628E0  -3.636720926467E-1  -1.532700160966E-2  -1.631152943873E-3
   7.000000000000E-1   -1.095047416726E0  -3.926274225132E-1  -1.796073452688E-2  -2.068703474696E-3
   7.500000000000E-1   -1.132602716222E0  -4.212058544347E-1  -2.077990016059E-2  -2.576957556347E-3
   8.000000000000E-1   -1.168834387415E0  -4.494037639044E-1  -2.377591097028E-2  -3.160291238715E-3
   8.500000000000E-1   -1.203861139861E0  -4.772213000447E-1  -2.693989888654E-2  -3.822789559009E-3
   9.000000000000E-1   -1.237784470672E0  -5.046613155993E-1  -3.026281940988E-2  -4.568239349004E-3
   9.500000000000E-1   -1.270691965581E0  -5.317285895861E-1  -3.373553703674E-2  -5.400125347465E-3
    1.000000000000E0   -1.302659826288E0  -5.584292578823E-1  -3.734889497653E-2  -6.321629170063E-3
    1.050000000000E0   -1.333754839021E0  -5.847703930542E-1  -4.109377185904E-2  -7.335630761804E-3
    1.100000000000E0   -1.364035921023E0  -6.107596928314E-1  -4.496112738403E-2  -8.444711966499E-3
    1.150000000000E0   -1.393555358023E0  -6.364052483392E-1  -4.894203876536E-2  -9.651161922949E-3
    1.200000000000E0   -1.422359800614E0  -6.617153713598E-1  -5.302772939631E-2  -1.095698399598E-2
    1.250000000000E0   -1.450491075637E0  -6.866984655880E-1  -5.720959098530E-2  -1.236390400883E-2
    1.300000000000E0   -1.477986853927E0  -7.113629311232E-1  -6.147920020182E-2  -1.387337951139E-2
    1.350000000000E0   -1.504881201984E0  -7.357170937448E-1  -6.582833076830E-2  -1.548660995131E-2
    1.400000000000E0   -1.531205044077E0  -7.597691532705E-1  -7.024896170644E-2  -1.720454747885E-2
    1.450000000000E0   -1.556986550136E0  -7.835271463384E-1  -7.473328242765E-2  -1.902790828940E-2
    1.500000000000E0    1.559341189414E0  -8.069989199826E-1  -7.927369513877E-2  -2.095718431852E-2
    1.550000000000E0    1.534569270848E0  -8.301921138868E-1  -8.386281511979E-2  -2.299265516639E-2
    1.600000000000E0    1.510268656845E0  -8.531141488238E-1  -8.849346921678E-2  -2.513440016239E-2
    1.650000000000E0    1.486419359077E0  -8.757722200832E-1  -9.315869290448E-2  -2.738231040126E-2
    1.700000000000E0    1.463002912128E0  -8.981732946119E-1  -9.785172620357E-2  -2.973610075638E-2
    1.750000000000E0    1.440002219080E0  -9.203241110000E-1  -1.025660086539E-1  -3.219532167907E-2
    1.800000000000E0    1.417401416753E0  -9.422311814607E-1  -1.072951736091E-1  -3.475937086319E-2
    1.850000000000E0    1.395185756797E0  -9.639007955610E-1  -1.120330420108E-1  -3.742750453751E-2
    1.900000000000E0    1.373341502692E0  -9.853390249426E-1  -1.167736156939E-1  -4.019884854549E-2
    1.950000000000E0    1.351855837376E0   -1.006551728985E0  -1.215110705720E-1  -4.307240897608E-2
    2.000000000000E0    1.330716782053E0   -1.027544560951E0  -1.262397494973E-1  -4.604708246025E-2
    2.050000000000E0    1.309913123968E0   -1.048322974553E0  -1.309541551494E-1  -4.912166604755E-2
    2.100000000000E0    1.289434353019E0   -1.068892230706E0  -1.356489428652E-1  -5.229486665636E-2
    2.150000000000E0    1.269270601998E0   -1.089257404419E0  -1.403189135240E-1  -5.556531007819E-2
    2.200000000000E0    1.249412597739E0   -1.109423391633E0  -1.449590065411E-1  -5.893154953384E-2
    2.250000000000E0    1.229851613308E0   -1.129394916047E0  -1.495642930381E-1  -6.239207381777E-2
    2.300000000000E0    1.210579426512E0   -1.149176535859E0  -1.541299690883E-1  -6.594531494654E-2
    2.350000000000E0    1.191588283246E0   -1.168772650250E0  -1.586513492743E-1  -6.958965540080E-2
    2.400000000000E0    1.172870861240E0   -1.188187505818E0  -1.631238603549E-1  -7.332343492085E-2
    2.450000000000E0    1.154420241613E0   -1.207425202709E0  -1.675430352574E-1  -7.714495688260E-2
    2.500000000000E0    1.136229879516E0   -1.226489700630E0  -1.719045072851E-1  -8.105249423295E-2
    2.550000000000E0    1.118293578709E0   -1.245384824594E0  -1.762040046333E-1  -8.504429509129E-2
    2.600000000000E0    1.100605468275E0   -1.264114270414E0  -1.804373450761E-1  -8.911858788665E-2
    2.650000000000E0    1.083159982048E0   -1.282681610057E0  -1.846004310494E-1  -9.327358615628E-2
    2.700000000000E0    1.065951837105E0   -1.301090296729E0  -1.886892449131E-1  -9.750749298938E-2
    2.750000000000E0    1.048976018184E0   -1.319343669749E0  -1.926998446127E-1  -1.018185051251E-1
    2.800000000000E0    1.032227759915E0   -1.337444959187E0  -1.966283595783E-1  -1.062048167345E-1
    2.850000000000E0    1.015702531714E0   -1.355397290393E0  -2.004709869444E-1  -1.106646228808E-1
    2.900000000000E0   9.993960248257E-1   -1.373203688208E0  -2.042239879669E-1  -1.151961226655E-1
    2.950000000000E0   9.833041374028E-1   -1.390867081044E0  -2.078836849762E-1  -1.197975221589E-1
    3.000000000000E0   9.674229648093E-1   -1.408390304770E0  -2.114464583425E-1  -1.244670369944E-1
    3.050000000000E0   9.517487873259E-1   -1.425776106441E0  -2.149087440734E-1  -1.292028947970E-1
    3.100000000000E0   9.362780600111E-1   -1.443027147856E0  -2.182670314469E-1  -1.340033372826E-1
    3.150000000000E0   9.210074038223E-1   -1.460146008887E0  -2.215178611540E-1  -1.388666222516E-1
    3.200000000000E0   9.059335962023E-1   -1.477135190742E0  -2.246578236486E-1  -1.437910252745E-1
    3.250000000000E0   8.910535623375E-1   -1.493997119033E0  -2.276835578860E-1  -1.487748412753E-1
    3.300000000000E0   8.763643689192E-1   -1.510734146739E0  -2.305917503883E-1  -1.538163858664E-1
    3.350000000000E0   8.618632159345E-1   -1.527348556952E0  -2.333791346692E-1  -1.589139965691E-1
    3.400000000000E0   8.475474300564E-1   -1.543842565618E0  -2.360424909675E-1  -1.640660338710E-1
    3.450000000000E0   8.334144592016E-1   -1.560218324059E0  -2.385786463322E-1  -1.692708821258E-1
    3.500000000000E0   8.194618649473E-1    1.565114732185E0  -2.409844750768E-1  -1.745269503193E-1
    3.550000000000E0   8.056873189459E-1    1.548969266649E0  -2.432568996336E-1  -1.798326727644E-1
    3.600000000000E0   7.920885966372E-1    1.532935961252E0  -2.453928917492E-1  -1.851865095974E-1
    3.650000000000E0   7.786635724692E-1    1.517012899826E0  -2.473894740688E-1  -1.905869472677E-1
    3.700000000000E0   7.654102158890E-1    1.501198219679E0  -2.492437220907E-1  -1.960324988566E-1
    3.750000000000E0   7.523265864759E-1    1.485490109636E0  -2.509527665747E-1  -2.015217043561E-1
    3.800000000000E0   7.394108294574E-1    1.469886808197E0  -2.525137962608E-1  -2.070531308423E-1
