#             E [au]      sigma_0 [au^2]
  2.220446049250E-16    1.098969324573E1
  3.100382477730E-16    1.098969324573E1
  4.329027274254E-16    1.098969324573E1
  6.044569428401E-16    1.098969324573E1
  8.439960587001E-16    1.098969324573E1
  1.178461684557E-15    1.098969324573E1
  1.645472070222E-15    1.098969324573E1
  2.297553131647E-15    1.098969324573E1
  3.208046182170E-15    1.098969324573E1
  4.479356827565E-15    1.098969324573E1
  6.254472800350E-15    1.098969324573E1
  8.733046175200E-15    1.098969324573E1
  1.219384877554E-14    1.098969324573E1
  1.702612639137E-14    1.098969324573E1
  2.377337830174E-14    1.098969324573E1
  3.319448610248E-14    1.098969324573E1
  4.634906716339E-14    1.098969324573E1
  6.471665264779E-14    1.098969324573E1
  9.036309436758E-14    1.098969324573E1
  1.261729167008E-13    1.098969324573E1
  1.761737468178E-13    1.098969324573E1
  2.459893127574E-13    1.098969324573E1
  3.434719592666E-13    1.098969324573E1
  4.795858221645E-13    1.098969324573E1
  6.696399942294E-13    1.098969324574E1
  9.350103800976E-13    1.098969324574E1
  1.305543901834E-12    1.098969324574E1
  1.822915462648E-12    1.098969324575E1
  2.545315235506E-12    1.098969324576E1
  3.553993468621E-12    1.098969324577E1
  4.962398919712E-12    1.098969324579E1
  6.928938743355E-12    1.098969324581E1
  9.674794970323E-12    1.098969324584E1
  1.350880144633E-11    1.098969324589E1
  1.886217920651E-11    1.098969324595E1
  2.633703706668E-11    1.098969324596E1
  3.677409242364E-11    1.098969324609E1
  5.134722900526E-11    1.098969324626E1
  7.169552673510E-11    1.098969324650E1
  1.001076134663E-10    1.098969324684E1
  1.397790731205E-10    1.098969324732E1
  1.951718616187E-10    1.098969324147E1
  2.725161550819E-10    1.098969324239E1
  3.805110745202E-10    1.098969324361E1
  5.313030994033E-10    1.098969324260E1
  7.418522149230E-10    1.098969324504E1
   1.035839447209E-9    1.098969324362E1
   1.446330332120E-9    1.098969323952E1
   2.019493885127E-9    1.098969322770E1
   2.819795354831E-9    1.098969322788E1
   3.937246803116E-9    1.098969322263E1
   5.497531004188E-9    1.098969320915E1
   7.676137324712E-9    1.098969318836E1
   1.071809948556E-8    1.098969316867E1
   1.496555516438E-8    1.098969314490E1
   2.089622714176E-8    1.098969310398E1
   2.917715406904E-8    1.098969304898E1
   4.073971410214E-8    1.098969296816E1
   5.688437951133E-8    1.098969286279E1
   7.942698430030E-8    1.098969270792E1
   1.109029559474E-7    1.098969250143E1
   1.548524817632E-7    1.098969220171E1
   2.162186832928E-7    1.098969179291E1
   3.019035825100E-7    1.098969121359E1
   4.215443908191E-7    1.098969041060E1
   5.885974321790E-7    1.098968929323E1
   8.218516121032E-7    1.098968772254E1
   1.147541656470E-6    1.098968553165E1
   1.602298801804E-6    1.098968247391E1
   2.237270809114E-6    1.098967820414E1
   3.123874690338E-6    1.098967224763E1
   4.361829172034E-6    1.098966392699E1
   6.090370329147E-6    1.098965230996E1
   8.503911841383E-6    1.098963608437E1
   1.187391122342E-5    1.098961343184E1
   1.657940138272E-5    1.098958180195E1
   2.314962147159E-5    1.098953764247E1
   3.232354184009E-5    1.098947598735E1
   4.513297802170E-5    1.098938988972E1
   6.301864180554E-5    1.098926967231E1
   8.799218197181E-5    1.098910181271E1
   1.228624398484E-4    1.098886745185E1
   1.715513672605E-4    1.098854020668E1
   2.395351390162E-4    1.098808330725E1
   3.344600730367E-4    1.098744536507E1
   4.670026323285E-4    1.098655466671E1
   6.520702355338E-4    1.098531110741E1
   9.104779344586E-4    1.098357495667E1
   1.271289539013E-3    1.098115120007E1
   1.775086502196E-3    1.097776773634E1
   2.478532225415E-3    1.097304502033E1
   3.460745143868E-3    1.096645380582E1
   4.832197390052E-3    1.095725653267E1
   6.747139892053E-3    1.094442608520E1
   9.420951390904E-3    1.092653369501E1
   1.315436266770E-2    1.090159476507E1
   1.836728054456E-2    1.086685847266E1
   2.564601593591E-2    1.081852310057E1
   3.580922781624E-2    1.075135640205E1
   5.000000000000E-2    1.065819953300E1
