#             E [au]      sigma_0 [au^2]      sigma_1 [au^2]      sigma_2 [au^2]      sigma_3 [au^2]    sigma_tot [au^2]
    0.000000000000E0                 NaN                 NaN                 NaN                 NaN                 NaN
   5.000000000000E-2    1.114916721065E2   2.827443143677E-2   7.987480793753E-5  3.041809296001E-11    1.115200264128E2
   1.000000000000E-1    5.527492555425E1   1.011621607665E-1   1.047425223122E-3   1.945607500093E-9    5.537713514219E1
   1.500000000000E-1    3.608170542646E1   2.049453804218E-1   4.383565557713E-3   2.215763953326E-8    3.629103439460E1
   2.000000000000E-1    2.639402708359E1   3.299283527344E-1   1.154617968978E-2   1.245269069953E-7    2.673550174055E1
   2.500000000000E-1    2.055069617777E1   4.691213332618E-1   2.367140193385E-2   4.753639923094E-7    2.104348938833E1
   3.000000000000E-1    1.664205373943E1   6.174059922214E-1   4.151125594699E-2   1.421090058754E-6    1.730097240869E1
   3.500000000000E-1    1.384403391190E1   7.709888614325E-1   6.546874830801E-2   3.589419050650E-6    1.468049511106E1
   4.000000000000E-1    1.174271254146E1   9.270333381691E-1   9.566489685771E-2   8.015319266232E-6    1.276541879180E1
   4.500000000000E-1    1.010736098712E1    1.083405864738E0   1.320086608005E-1   1.629346023457E-5    1.132279180611E1
   5.000000000000E-1    8.799178644870E0    1.238497119147E0   1.742583818103E-1   3.075936185590E-5    1.021196490519E1
   5.500000000000E-1    7.729645196078E0    1.391093680332E0   2.220715249348E-1   5.470204620472E-5    9.342865103391E0
   6.000000000000E-1    6.839634292596E0    1.540284386228E0   2.750430330633E-1   9.261166264946E-5    8.655054323550E0
   6.500000000000E-1    6.088140445638E0    1.685390993167E0   3.327339097020E-1   1.504663275927E-4    8.106415814835E0
   7.000000000000E-1    5.445824783435E0    1.825916152120E0   3.946919326326E-1   2.360633133196E-4    7.666668931501E0
   7.500000000000E-1    4.891136285721E0    1.961503915748E0   4.604662659640E-1   3.594007576965E-4    7.313465868191E0
   8.000000000000E-1    4.407884279707E0    2.091909439920E0   5.296174590063E-1   5.331172744038E-4    7.029944295907E0
   8.500000000000E-1    3.983665839452E0    2.216975518623E0   6.017240214229E-1   7.729982626952E-4    6.803138377761E0
   9.000000000000E-1    3.608816339535E0    2.336614257244E0   6.763864970634E-1   1.098559376224E-3    6.622915653219E0
   9.500000000000E-1    3.275690747108E0    2.450792647479E0   7.532297361936E-1   1.533719573164E-3    6.481246850354E0
    1.000000000000E0    2.978160122585E0    2.559521139576E0   8.319038900305E-1   2.107578482841E-3    6.371692730674E0
    1.050000000000E0    2.711251710940E0    2.662844530952E0   9.120845159280E-1   2.855315566418E-3    6.289036073387E0
    1.100000000000E0    2.470887021475E0    2.760834666376E0   9.934720773877E-1   3.819231802591E-3    6.229012997041E0
    1.150000000000E0    2.253688097259E0    2.853584558656E0    1.075791046570E0   5.049958480765E-3    6.188113660966E0
    1.200000000000E0    2.056832145541E0    2.941203638177E0    1.158788758305E0   6.607862299842E-3    6.163432404322E0
    1.250000000000E0    1.877940984029E0    3.023813899359E0    1.242234123014E0   8.564681397032E-3    6.152553687799E0
    1.300000000000E0    1.714995950789E0    3.101546766053E0    1.325916273165E0   1.100543349274E-2    6.153464423500E0
    1.350000000000E0    1.566271693893E0    3.174540538469E0    1.409643196548E0   1.403064502728E-2    6.164486073937E0
    1.400000000000E0    1.430284110641E0    3.242938308067E0    1.493240391381E0   1.775895945721E-2    6.184221769547E0
    1.450000000000E0    1.305749044718E0    3.306886256900E0    1.576549567221E0   2.233019373715E-2    6.211515062575E0
    1.500000000000E0    1.191549217610E0    3.366532265476E0    1.659427406346E0   2.790892513462E-2    6.245417814567E0
    1.550000000000E0    1.086707546516E0    3.422024780551E0    1.741744394058E0   3.468870571076E-2    6.285165426837E0
    1.600000000000E0   9.903654498230E-1    3.473511889917E0    1.823383722178E0   4.289702006123E-2    6.330158081979E0
    1.650000000000E0   9.017650904819E-1    3.521140573485E0    1.904240266819E0   5.280112293596E-2    6.379947053722E0
    1.700000000000E0   8.202347348211E-1    3.565056096337E0    1.984219639728E0   6.471491773598E-2    6.434225388622E0
