#             E [au]         delta_0 [1]         delta_1 [1]         delta_2 [1]         delta_3 [1]
    0.000000000000E0   -0.000000000000E0                 NaN                 NaN                 NaN
   5.000000000000E-2    1.228316895474E0  -8.660377235386E-3  -3.565455237479E-4   1.859567894127E-7
   1.000000000000E-1    1.216636050255E0  -2.316846926285E-2  -1.825941330082E-3   2.103239171770E-6
   1.500000000000E-1    1.189302508635E0  -4.039543173836E-2  -4.574945882670E-3   8.692974822549E-6
   2.000000000000E-1    1.159481336916E0  -5.920085334975E-2  -8.573626066997E-3   2.379620185779E-5
   2.500000000000E-1    1.129643529128E0  -7.896114229363E-2  -1.372526358416E-2   5.198094747531E-5
   3.000000000000E-1    1.100431771713E0  -9.929086984869E-2  -1.991119494846E-2   9.845379804620E-5
   3.500000000000E-1    1.072009551800E0  -1.199359020314E-1  -2.701026921728E-2   1.690079569397E-4
   4.000000000000E-1    1.044389582831E0  -1.407218123726E-1  -3.490756596927E-2   2.699923504395E-4
   4.500000000000E-1    1.017534630808E0  -1.615256237881E-1  -4.349802063566E-2   4.082949207595E-4
   5.000000000000E-1   9.913927096990E-1  -1.822590211044E-1  -5.268753186871E-2   5.913365645684E-4
   5.500000000000E-1   9.659101413088E-1  -2.028577937463E-1  -6.239282606635E-2   8.270737287677E-4
   6.000000000000E-1   9.410363538103E-1  -2.232749087916E-1  -7.254073768483E-2   1.124008519513E-3
   6.500000000000E-1   9.167254209954E-1  -2.434758135329E-1  -8.306725118712E-2   1.491205668067E-3
   7.000000000000E-1   8.929362805997E-1  -2.634351645417E-1  -9.391648530874E-2   1.938316028137E-3
   7.500000000000E-1   8.696324375567E-1  -2.831344999363E-1  -1.050397111053E-1   2.475606505597E-3
   8.000000000000E-1   8.467814959896E-1  -3.025605523802E-1  -1.163944466222E-1   3.113996490074E-3
   8.500000000000E-1   8.243546587215E-1  -3.217040074117E-1  -1.279436445814E-1   3.865101016441E-3
   9.000000000000E-1   8.023262603941E-1  -3.405585774133E-1  -1.396549755439E-1   4.741280999690E-3
   9.500000000000E-1   7.806733488009E-1  -3.591203028467E-1  -1.515002017998E-1   5.755701019362E-3
    1.000000000000E0   7.593753215745E-1  -3.773870199694E-1  -1.634546340178E-1   6.922395244625E-3
    1.050000000000E0   7.384136141765E-1  -3.953579515991E-1  -1.754966615947E-1   8.256342221596E-3
    1.100000000000E0   7.177714352996E-1  -4.130333903673E-1  -1.876073475553E-1   9.773549380510E-3
    1.150000000000E0   6.974335391179E-1  -4.304144516901E-1  -1.997700795277E-1   1.149114825011E-2
    1.200000000000E0   6.773860341297E-1  -4.475028803210E-1  -2.119702690418E-1   1.342750155721E-2
    1.250000000000E0   6.576162185346E-1  -4.643008979890E-1  -2.241950923997E-1   1.560232351210E-2
    1.300000000000E0   6.381124392083E-1  -4.808110829192E-1  -2.364332671150E-1   1.803681483981E-2
    1.350000000000E0   6.188639723674E-1  -4.970362744490E-1  -2.486748588792E-1   2.075381426480E-2
    1.400000000000E0   5.998609188751E-1  -5.129794971322E-1  -2.609111146051E-1   2.377796846412E-2
    1.450000000000E0   5.810941161305E-1  -5.286439005638E-1  -2.731343178325E-1   2.713592268191E-2
    1.500000000000E0   5.625550601312E-1  -5.440327112317E-1  -2.853376632865E-1   3.085653458635E-2
    1.550000000000E0   5.442358381986E-1  -5.591491945617E-1  -2.975151478527E-1   3.497111413848E-2
    1.600000000000E0   5.261290697984E-1  -5.739966245468E-1  -3.096614756655E-1   3.951369269922E-2
    1.650000000000E0   5.082278562260E-1  -5.885782599563E-1  -3.217719753325E-1   4.452132485946E-2
    1.700000000000E0   4.905257341471E-1  -6.028973255137E-1  -3.338425276438E-1   5.003442678104E-2
    1.750000000000E0   4.730166372947E-1  -6.169569973072E-1  -3.458695022710E-1   5.609715529485E-2
    1.800000000000E0   4.556948602125E-1  -6.307603914746E-1  -3.578497022593E-1   6.275783208560E-2
    1.850000000000E0   4.385550272766E-1  -6.443105557304E-1  -3.697803153624E-1   7.006941762294E-2
    1.900000000000E0   4.215920654575E-1  -6.576104630320E-1  -3.816588710850E-1   7.809003923145E-2
    1.950000000000E0   4.048011786770E-1  -6.706630071056E-1  -3.934832029838E-1   8.688357770042E-2
    2.000000000000E0   3.881778266263E-1  -6.834709994483E-1  -4.052514153222E-1   9.652031571773E-2
    2.050000000000E0   3.717177044842E-1  -6.960371675079E-1  -4.169618535865E-1   1.070776501684E-1
    2.100000000000E0   3.554167252574E-1  -7.083641539118E-1  -4.286130784109E-1   1.186408678741E-1
    2.150000000000E0   3.392710029230E-1  -7.204545164668E-1  -4.402038424549E-1   1.313039803154E-1
    2.200000000000E0   3.232768391554E-1  -7.323107288156E-1  -4.517330698663E-1   1.451706070741E-1
    2.250000000000E0   3.074307088806E-1  -7.439351816651E-1  -4.631998380561E-1   1.603548886489E-1
    2.300000000000E0   2.917292494553E-1  -7.553301844419E-1  -4.746033614217E-1   1.769823964615E-1
    2.350000000000E0   2.761692493500E-1  -7.664979672995E-1  -4.859429769094E-1   1.951909894246E-1
    2.400000000000E0   2.607476374974E-1  -7.774406834473E-1  -4.972181310257E-1   2.151315403295E-1
    2.450000000000E0   2.454614756047E-1  -7.881604116717E-1  -5.084283683651E-1   2.369684204423E-1
    2.500000000000E0   2.303079486104E-1  -7.986591591082E-1  -5.195733212338E-1   2.608795826443E-1
    2.550000000000E0   2.152843579604E-1  -8.089388641424E-1  -5.306527004433E-1   2.870560229363E-1
    2.600000000000E0   2.003881142821E-1  -8.190013994241E-1  -5.416662869914E-1   3.157003232834E-1
    2.650000000000E0   1.856167312066E-1  -8.288485750302E-1  -5.526139246454E-1   3.470238898796E-1
    2.700000000000E0   1.709678185376E-1  -8.384821416554E-1  -5.634955132725E-1   3.812424056474E-1
    2.750000000000E0   1.564390781664E-1  -8.479037939516E-1  -5.743110027853E-1   4.185689327268E-1
    2.800000000000E0   1.420282977825E-1  -8.571151738000E-1  -5.850603878595E-1   4.592040599496E-1
    2.850000000000E0   1.277333471193E-1  -8.661178737444E-1  -5.957437029315E-1   5.033225457424E-1
    2.900000000000E0   1.135521734132E-1  -8.749134404294E-1  -6.063610179415E-1   5.510561309852E-1
    2.950000000000E0   9.948279641859E-2  -8.835033780045E-1  -6.169124342972E-1   6.024726758045E-1
    3.000000000000E0   8.552330616681E-2  -8.918891516570E-1  -6.273980813748E-1   6.575525848562E-1
    3.050000000000E0   7.167185818974E-2  -9.000721910662E-1  -6.378181132681E-1   7.161646250906E-1
    3.100000000000E0   5.792667115740E-2  -9.080538939466E-1  -6.481727059081E-1   7.780445673902E-1
    3.150000000000E0   4.428602351900E-2  -9.158356295488E-1  -6.584620544131E-1   8.427812259055E-1
    3.200000000000E0   3.074825057673E-2  -9.234187422394E-1  -6.686863707642E-1   9.098148534734E-1
    3.250000000000E0   1.731174142981E-2  -9.308045549862E-1  -6.788458815837E-1   9.784518668870E-1
    3.300000000000E0   3.974937537017E-3  -9.379943729904E-1  -6.889408262491E-1    1.047897233468E0
    3.350000000000E0  -9.263670720998E-3  -9.449894871664E-1  -6.989714551711E-1    1.117301961216E0
    3.400000000000E0  -2.240554542636E-2  -9.517911777788E-1  -7.089380281112E-1    1.185819192755E0
    3.450000000000E0  -3.545210327059E-2  -9.584007179449E-1  -7.188408128107E-1    1.252659948409E0
    3.500000000000E0  -4.840471853381E-2  -9.648193772459E-1  -7.286800836738E-1    1.317139666676E0
    3.550000000000E0  -6.126472337132E-2  -9.710484252550E-1  -7.384561205595E-1    1.378709304725E0
    3.600000000000E0  -7.403341076299E-2  -9.770891351043E-1  -7.481692077472E-1    1.436968752259E0
    3.650000000000E0  -8.671203538009E-2  -9.829427870572E-1  -7.578196329754E-1    1.491664141912E0
    3.700000000000E0  -9.930181530050E-2  -9.886106719766E-1  -7.674076865221E-1    1.542673160749E0
    3.750000000000E0  -1.118039336296E-1  -9.940940949159E-1  -7.769336604671E-1   -1.551609320360E0
    3.800000000000E0  -1.242195402561E-1  -9.993943785638E-1  -7.863978479170E-1   -1.507924871663E0
    3.850000000000E0  -1.365497520562E-1   -1.004512866729E0  -7.958005423982E-1   -1.467730854925E0
    3.900000000000E0  -1.487956552415E-1   -1.009450927783E0  -8.051420372666E-1   -1.430850418283E0
    3.950000000000E0  -1.609583057578E-1   -1.014209958080E0  -8.144226251678E-1   -1.397082048194E0
    4.000000000000E0  -1.730387304451E-1   -1.018791385266E0  -8.236425975834E-1   -1.366212648808E0
    4.050000000000E0  -1.850379291007E-1   -1.023196671628E0  -8.328022443533E-1   -1.338027152954E0
    4.100000000000E0  -1.969568740078E-1   -1.027427317333E0  -8.419018533206E-1   -1.312315223115E0
    4.150000000000E0  -2.087965120316E-1   -1.031484863591E0  -8.509417099871E-1   -1.288875646703E0
    4.200000000000E0  -2.205577648043E-1   -1.035370895824E0  -8.599220971922E-1   -1.267518984965E0
    4.250000000000E0  -2.322415298152E-1   -1.039087046577E0  -8.688432948375E-1   -1.248068949328E0
    4.300000000000E0  -2.438486813054E-1   -1.042634998556E0  -8.777055796354E-1   -1.230362884433E0
    4.350000000000E0  -2.553800714859E-1   -1.046016487381E0  -8.865092248558E-1   -1.214251648321E0
    4.400000000000E0  -2.668365302375E-1   -1.049233304343E0  -8.952545001584E-1   -1.199599105206E0
    4.450000000000E0  -2.782188667900E-1   -1.052287298948E0  -9.039416714329E-1   -1.186281386130E0
    4.500000000000E0  -2.895278696453E-1   -1.055180381392E0  -9.125710005940E-1   -1.174186026401E0
    4.550000000000E0  -3.007643077440E-1   -1.057914524822E0  -9.211427454848E-1   -1.163211054020E0
    4.600000000000E0  -3.119289313506E-1   -1.060491767520E0  -9.296571597347E-1   -1.153264078367E0
    4.650000000000E0  -3.230224716770E-1   -1.062914214840E0  -9.381144926419E-1   -1.144261409970E0
    4.700000000000E0  -3.340456424306E-1   -1.065184040960E0  -9.465149891137E-1   -1.136127230001E0
    4.750000000000E0  -3.449991397134E-1   -1.067303490552E0  -9.548588895931E-1   -1.128792819288E0
    4.800000000000E0  -3.558836427089E-1   -1.069274880072E0  -9.631464299492E-1   -1.122195850761E0
    4.850000000000E0  -3.666998143155E-1   -1.071100598980E0  -9.713778414685E-1   -1.116279745607E0
    4.900000000000E0  -3.774483019533E-1   -1.072783110623E0  -9.795533507673E-1   -1.110993091134E0
    4.950000000000E0  -3.881297371206E-1   -1.074324952981E0  -9.876731797845E-1   -1.106289116467E0
    5.000000000000E0  -3.987447367102E-1   -1.075728739076E0  -9.957375457783E-1   -1.102125222249E0
    5.050000000000E0  -4.092939027160E-1   -1.076997157170E0   -1.003746661240E0   -1.098462559421E0
    5.100000000000E0  -4.197778231325E-1   -1.078132970666E0   -1.011700733936E0   -1.095265652715E0
    5.150000000000E0  -4.301970726039E-1   -1.079139017771E0   -1.019599966889E0   -1.092502064323E0
    5.200000000000E0  -4.405522118696E-1   -1.080018210870E0   -1.027444558346E0   -1.090142093719E0
    5.250000000000E0  -4.508437890817E-1   -1.080773535570E0   -1.035234701830E0   -1.088158509588E0
    5.300000000000E0  -4.610723394946E-1   -1.081408049555E0   -1.042970586126E0   -1.086526310616E0
    5.350000000000E0  -4.712383860156E-1   -1.081924881008E0   -1.050652395299E0   -1.085222511727E0
    5.400000000000E0  -4.813424396002E-1   -1.082327226888E0   -1.058280308709E0   -1.084225953067E0
    5.450000000000E0  -4.913849998879E-1   -1.082618350792E0   -1.065854501025E0   -1.083517129211E0
    5.500000000000E0  -5.013665546789E-1   -1.082801580633E0   -1.073375142260E0   -1.083078036164E0
    5.550000000000E0  -5.112875810111E-1   -1.082880305952E0   -1.080842397811E0   -1.082892034330E0
    5.600000000000E0  -5.211485447930E-1   -1.082857974990E0   -1.088256428485E0   -1.082943725599E0
    5.650000000000E0  -5.309499015061E-1   -1.082738091463E0   -1.095617390506E0   -1.083218842936E0
    5.700000000000E0  -5.406920967236E-1   -1.082524211104E0   -1.102925435589E0   -1.083704151134E0
    5.750000000000E0  -5.503755655288E-1   -1.082219937921E0   -1.110180710946E0   -1.084387357470E0
    5.800000000000E0  -5.600007335244E-1   -1.081828920228E0   -1.117383359343E0   -1.085257031201E0
    5.850000000000E0  -5.695680164916E-1   -1.081354846472E0   -1.124533519163E0   -1.086302530921E0
    5.900000000000E0  -5.790778211131E-1   -1.080801440762E0   -1.131631324416E0   -1.087513938964E0
    5.950000000000E0  -5.885305447752E-1   -1.080172458312E0   -1.138676904790E0   -1.088882001989E0
    6.000000000000E0  -5.979265763912E-1   -1.079471680639E0   -1.145670385724E0   -1.090398077278E0
    6.050000000000E0  -6.072662957420E-1   -1.078702910629E0   -1.152611888415E0   -1.092054083963E0
    6.100000000000E0  -6.165500744391E-1   -1.077869967437E0   -1.159501529918E0   -1.093842458764E0
    6.150000000000E0  -6.257782755043E-1   -1.076976681315E0   -1.166339423166E0   -1.095756115810E0
    6.200000000000E0  -6.349512541043E-1   -1.076026888283E0   -1.173125677027E0   -1.097788409992E0
    6.250000000000E0  -6.440693572629E-1   -1.075024424823E0   -1.179860396350E0   -1.099933103639E0
    6.300000000000E0  -6.531329246407E-1   -1.073973122423E0   -1.186543682043E0   -1.102184336067E0
    6.350000000000E0  -6.621422880642E-1   -1.072876802170E0   -1.193175631094E0   -1.104536595819E0
    6.400000000000E0  -6.710977718255E-1   -1.071739269331E0   -1.199756336676E0   -1.106984695272E0
    6.450000000000E0  -6.799996931683E-1   -1.070564307903E0   -1.206285888164E0   -1.109523747354E0
    6.500000000000E0  -6.888483620572E-1   -1.069355675314E0   -1.212764371203E0   -1.112149144270E0
    6.550000000000E0  -6.976440819087E-1   -1.068117097089E0   -1.219191867780E0   -1.114856537942E0
    6.600000000000E0  -7.063871488304E-1   -1.066852261695E0   -1.225568456252E0   -1.117641822075E0
    6.650000000000E0  -7.150778527086E-1   -1.065564815457E0   -1.231894211453E0   -1.120501115638E0
    6.700000000000E0  -7.237164765415E-1   -1.064258357606E0   -1.238169204723E0   -1.123430747707E0
    6.750000000000E0  -7.323032971629E-1   -1.062936435521E0   -1.244393503978E0   -1.126427243468E0
    6.800000000000E0  -7.408385849836E-1   -1.061602540098E0   -1.250567173773E0   -1.129487311339E0
    6.850000000000E0  -7.493226046134E-1   -1.060260101378E0   -1.256690275383E0   -1.132607831048E0
    6.900000000000E0  -7.577556144446E-1   -1.058912484296E0   -1.262762866812E0   -1.135785842644E0
    6.950000000000E0  -7.661378668410E-1   -1.057562984756E0   -1.268785002946E0   -1.139018536346E0
    7.000000000000E0  -7.744696086074E-1   -1.056214825828E0   -1.274756735549E0   -1.142303243118E0
    7.050000000000E0  -7.827510807246E-1   -1.054871154301E0   -1.280678113347E0   -1.145637425962E0
