#             R [au]           V(R) [au]
    0.000000000000E0   -1.104500000000E1
   6.668889629877E-4   -1.104500000000E1
   1.333777925975E-3   -1.104500000000E1
   2.000666888963E-3   -1.104500000000E1
   2.667555851951E-3   -1.104500000000E1
   3.334444814938E-3   -1.104500000000E1
   4.001333777926E-3   -1.104500000000E1
   4.668222740914E-3   -1.104500000000E1
   5.335111703901E-3   -1.104500000000E1
   6.002000666889E-3   -1.104500000000E1
   6.668889629877E-3   -1.104500000000E1
   7.335778592864E-3   -1.104500000000E1
   8.002667555852E-3   -1.104500000000E1
   8.669556518840E-3   -1.104500000000E1
   9.336445481827E-3   -1.104500000000E1
   1.000333444481E-2   -1.104500000000E1
   1.067022340780E-2   -1.104500000000E1
   1.133711237079E-2   -1.104500000000E1
   1.200400133378E-2   -1.104500000000E1
   1.267089029677E-2   -1.104500000000E1
   1.333777925975E-2   -1.104500000000E1
   1.400466822274E-2   -1.104500000000E1
   1.467155718573E-2   -1.104500000000E1
   1.533844614872E-2   -1.104500000000E1
   1.600533511170E-2   -1.104500000000E1
   1.667222407469E-2   -1.104500000000E1
   1.733911303768E-2   -1.104500000000E1
   1.800600200067E-2   -1.104500000000E1
   1.867289096365E-2   -1.104500000000E1
   1.933977992664E-2   -1.104500000000E1
   2.000666888963E-2   -1.104500000000E1
   2.067355785262E-2   -1.104500000000E1
   2.134044681561E-2   -1.104500000000E1
   2.200733577859E-2   -1.104500000000E1
   2.267422474158E-2   -1.104500000000E1
   2.334111370457E-2   -1.104500000000E1
   2.400800266756E-2   -1.104500000000E1
   2.467489163054E-2   -1.104500000000E1
   2.534178059353E-2   -1.104500000000E1
   2.600866955652E-2   -1.104500000000E1
   2.667555851951E-2   -1.104500000000E1
   2.734244748249E-2   -1.104500000000E1
   2.800933644548E-2   -1.104500000000E1
   2.867622540847E-2   -1.104500000000E1
   2.934311437146E-2   -1.104500000000E1
   3.001000333444E-2   -1.104500000000E1
   3.067689229743E-2   -1.104500000000E1
   3.134378126042E-2   -1.104500000000E1
   3.201067022341E-2   -1.104500000000E1
   3.267755918640E-2   -1.104500000000E1
   3.334444814938E-2   -1.104500000000E1
   3.401133711237E-2   -1.104500000000E1
   3.467822607536E-2   -1.104500000000E1
   3.534511503835E-2   -1.104500000000E1
   3.601200400133E-2   -1.104500000000E1
   3.667889296432E-2   -1.104500000000E1
   3.734578192731E-2   -1.104500000000E1
   3.801267089030E-2   -1.104500000000E1
   3.867955985328E-2   -1.104500000000E1
   3.934644881627E-2   -1.104500000000E1
   4.001333777926E-2   -1.104500000000E1
   4.068022674225E-2   -1.104500000000E1
   4.134711570524E-2   -1.104500000000E1
   4.201400466822E-2   -1.104500000000E1
   4.268089363121E-2   -1.104500000000E1
   4.334778259420E-2   -1.104500000000E1
   4.401467155719E-2   -1.104500000000E1
   4.468156052017E-2   -1.104500000000E1
   4.534844948316E-2   -1.104500000000E1
   4.601533844615E-2   -1.104500000000E1
   4.668222740914E-2   -1.104500000000E1
   4.734911637212E-2   -1.104500000000E1
   4.801600533511E-2   -1.104500000000E1
   4.868289429810E-2   -1.104500000000E1
   4.934978326109E-2   -1.104500000000E1
   5.001667222407E-2   -1.104500000000E1
   5.068356118706E-2   -1.104500000000E1
   5.135045015005E-2   -1.104500000000E1
   5.201733911304E-2   -1.104500000000E1
   5.268422807603E-2   -1.104500000000E1
   5.335111703901E-2   -1.104500000000E1
   5.401800600200E-2   -1.104500000000E1
   5.468489496499E-2   -1.104500000000E1
   5.535178392798E-2   -1.104500000000E1
   5.601867289096E-2   -1.104500000000E1
   5.668556185395E-2   -1.104500000000E1
   5.735245081694E-2   -1.104500000000E1
   5.801933977993E-2   -1.104500000000E1
   5.868622874291E-2   -1.104500000000E1
   5.935311770590E-2   -1.104500000000E1
   6.002000666889E-2   -1.104500000000E1
   6.068689563188E-2   -1.104500000000E1
   6.135378459486E-2   -1.104500000000E1
   6.202067355785E-2   -1.104500000000E1
   6.268756252084E-2   -1.104500000000E1
   6.335445148383E-2   -1.104500000000E1
   6.402134044682E-2   -1.104500000000E1
   6.468822940980E-2   -1.104500000000E1
   6.535511837279E-2   -1.104500000000E1
   6.602200733578E-2   -1.104500000000E1
   6.668889629877E-2   -1.104500000000E1
   6.735578526175E-2   -1.104500000000E1
   6.802267422474E-2   -1.104500000000E1
   6.868956318773E-2   -1.104500000000E1
   6.935645215072E-2   -1.104500000000E1
   7.002334111370E-2   -1.104500000000E1
   7.069023007669E-2   -1.104500000000E1
   7.135711903968E-2   -1.104500000000E1
   7.202400800267E-2   -1.104500000000E1
   7.269089696566E-2   -1.104500000000E1
   7.335778592864E-2   -1.104500000000E1
   7.402467489163E-2   -1.104500000000E1
   7.469156385462E-2   -1.104500000000E1
   7.535845281761E-2   -1.104500000000E1
   7.602534178059E-2   -1.104500000000E1
   7.669223074358E-2   -1.104500000000E1
   7.735911970657E-2   -1.104500000000E1
   7.802600866956E-2   -1.104500000000E1
   7.869289763254E-2   -1.104500000000E1
   7.935978659553E-2   -1.104500000000E1
   8.002667555852E-2   -1.104500000000E1
   8.069356452151E-2   -1.104500000000E1
   8.136045348449E-2   -1.104500000000E1
   8.202734244748E-2   -1.104500000000E1
   8.269423141047E-2   -1.104500000000E1
   8.336112037346E-2   -1.104500000000E1
   8.402800933645E-2   -1.104500000000E1
   8.469489829943E-2   -1.104500000000E1
   8.536178726242E-2   -1.104500000000E1
   8.602867622541E-2   -1.104500000000E1
   8.669556518840E-2   -1.104500000000E1
   8.736245415138E-2   -1.104500000000E1
   8.802934311437E-2   -1.104500000000E1
   8.869623207736E-2   -1.104500000000E1
   8.936312104035E-2   -1.104500000000E1
   9.003001000333E-2   -1.104500000000E1
   9.069689896632E-2   -1.104500000000E1
   9.136378792931E-2   -1.104500000000E1
   9.203067689230E-2   -1.104500000000E1
   9.269756585529E-2   -1.104500000000E1
   9.336445481827E-2   -1.104500000000E1
   9.403134378126E-2   -1.104500000000E1
   9.469823274425E-2   -1.104500000000E1
   9.536512170724E-2   -1.104500000000E1
   9.603201067022E-2   -1.104500000000E1
   9.669889963321E-2   -1.104500000000E1
   9.736578859620E-2   -1.104500000000E1
   9.803267755919E-2   -1.104500000000E1
   9.869956652217E-2   -1.104500000000E1
   9.936645548516E-2   -1.104500000000E1
   1.000333444481E-1   -1.104500000000E1
   1.007002334111E-1   -1.104500000000E1
   1.013671223741E-1   -1.104500000000E1
   1.020340113371E-1   -1.104500000000E1
   1.027009003001E-1   -1.104500000000E1
   1.033677892631E-1   -1.104500000000E1
   1.040346782261E-1   -1.104500000000E1
   1.047015671891E-1   -1.104500000000E1
   1.053684561521E-1   -1.104500000000E1
   1.060353451150E-1   -1.104500000000E1
   1.067022340780E-1   -1.104500000000E1
   1.073691230410E-1   -1.104500000000E1
   1.080360120040E-1   -1.104500000000E1
   1.087029009670E-1   -1.104500000000E1
   1.093697899300E-1   -1.104500000000E1
   1.100366788930E-1   -1.104500000000E1
   1.107035678560E-1   -1.104500000000E1
   1.113704568189E-1   -1.104500000000E1
   1.120373457819E-1   -1.104500000000E1
   1.127042347449E-1   -1.104500000000E1
   1.133711237079E-1   -1.104500000000E1
   1.140380126709E-1   -1.104500000000E1
   1.147049016339E-1   -1.104500000000E1
   1.153717905969E-1   -1.104500000000E1
   1.160386795599E-1   -1.104500000000E1
   1.167055685228E-1   -1.104500000000E1
   1.173724574858E-1   -1.104500000000E1
   1.180393464488E-1   -1.104500000000E1
   1.187062354118E-1   -1.104500000000E1
   1.193731243748E-1   -1.104500000000E1
   1.200400133378E-1   -1.104500000000E1
   1.207069023008E-1   -1.104500000000E1
   1.213737912638E-1   -1.104500000000E1
   1.220406802267E-1   -1.104500000000E1
   1.227075691897E-1   -1.104500000000E1
   1.233744581527E-1   -1.104500000000E1
   1.240413471157E-1   -1.104500000000E1
   1.247082360787E-1   -1.104500000000E1
   1.253751250417E-1   -1.104500000000E1
   1.260420140047E-1   -1.104500000000E1
   1.267089029677E-1   -1.104500000000E1
   1.273757919306E-1   -1.104500000000E1
   1.280426808936E-1   -1.104500000000E1
   1.287095698566E-1   -1.104500000000E1
   1.293764588196E-1   -1.104500000000E1
   1.300433477826E-1   -1.104500000000E1
   1.307102367456E-1   -1.104500000000E1
   1.313771257086E-1   -1.104500000000E1
   1.320440146716E-1   -1.104500000000E1
   1.327109036345E-1   -1.104500000000E1
   1.333777925975E-1   -1.104500000000E1
   1.340446815605E-1   -1.104500000000E1
   1.347115705235E-1   -1.104500000000E1
   1.353784594865E-1   -1.104500000000E1
   1.360453484495E-1   -1.104500000000E1
   1.367122374125E-1   -1.104500000000E1
   1.373791263755E-1   -1.104500000000E1
   1.380460153384E-1   -1.104500000000E1
   1.387129043014E-1   -1.104500000000E1
   1.393797932644E-1   -1.104500000000E1
   1.400466822274E-1   -1.104500000000E1
   1.407135711904E-1   -1.104500000000E1
   1.413804601534E-1   -1.104500000000E1
