#             R [au]        psi_0 [a.u.]        psi_1 [a.u.]
    0.000000000000E0    0.000000000000E0    0.000000000000E0
   6.666888896297E-4   2.167694233453E-3   1.660397698853E-3
   1.333377779259E-3   4.335382100518E-3   3.320778765212E-3
   2.000066668889E-3   6.503057234827E-3   4.981126566749E-3
   2.666755558519E-3   8.670713270047E-3   6.641424471468E-3
   3.333444448148E-3   1.083834383990E-2   8.301655847875E-3
   4.000133337778E-3   1.300594257820E-2   9.961804065141E-3
   4.666822227408E-3   1.517350311882E-2   1.162185249327E-2
   5.333511117037E-3   1.734101909578E-2   1.328178450327E-2
   6.000200006667E-3   1.950848414320E-2   1.494158346731E-2
   6.666888896297E-3   2.167589189538E-2   1.660123275888E-2
   7.333577785926E-3   2.384323598677E-2   1.826071575300E-2
   8.000266675556E-3   2.601051005201E-2   1.992001582634E-2
   8.666955565186E-3   2.817770772595E-2   2.157911635738E-2
   9.333644454815E-3   3.034482264365E-2   2.323800072664E-2
   1.000033334444E-2   3.251184844043E-2   2.489665231677E-2
   1.066702223407E-2   3.467877875187E-2   2.655505451278E-2
   1.133371112370E-2   3.684560721382E-2   2.821319070215E-2
   1.200040001333E-2   3.901232746244E-2   2.987104427506E-2
   1.266708890296E-2   4.117893313420E-2   3.152859862447E-2
   1.333377779259E-2   4.334541786591E-2   3.318583714640E-2
   1.400046668222E-2   4.551177529474E-2   3.484274323998E-2
   1.466715557185E-2   4.767799905821E-2   3.649930030770E-2
   1.533384446148E-2   4.984408279427E-2   3.815549175553E-2
   1.600053335111E-2   5.201002014126E-2   3.981130099312E-2
   1.666722224074E-2   5.417580473795E-2   4.146671143394E-2
   1.733391113037E-2   5.634143022355E-2   4.312170649544E-2
   1.800060002000E-2   5.850689023776E-2   4.477626959926E-2
   1.866728890963E-2   6.067217842076E-2   4.643038417134E-2
   1.933397779926E-2   6.283728841321E-2   4.808403364213E-2
   2.000066668889E-2   6.500221385633E-2   4.973720144674E-2
   2.066735557852E-2   6.716694839186E-2   5.138987102508E-2
