#             E [au]      sigma_0 [au^2]
  2.220446049250E-16    1.428714109858E2
  3.100382477730E-16    1.428714109858E2
  4.329027274254E-16    1.428714109858E2
  6.044569428401E-16    1.428714109858E2
  8.439960587001E-16    1.428714109858E2
  1.178461684557E-15    1.428714109858E2
  1.645472070222E-15    1.428714109858E2
  2.297553131647E-15    1.428714109858E2
  3.208046182170E-15    1.428714109858E2
  4.479356827565E-15    1.428714109858E2
  6.254472800350E-15    1.428714109858E2
  8.733046175200E-15    1.428714109857E2
  1.219384877554E-14    1.428714109857E2
  1.702612639137E-14    1.428714109857E2
  2.377337830174E-14    1.428714109857E2
  3.319448610248E-14    1.428714109857E2
  4.634906716339E-14    1.428714109857E2
  6.471665264779E-14    1.428714109857E2
  9.036309436758E-14    1.428714109856E2
  1.261729167008E-13    1.428714109856E2
  1.761737468178E-13    1.428714109855E2
  2.459893127574E-13    1.428714109855E2
  3.434719592666E-13    1.428714109853E2
  4.795858221645E-13    1.428714109852E2
  6.696399942294E-13    1.428714109849E2
  9.350103800976E-13    1.428714109846E2
  1.305543901834E-12    1.428714109841E2
  1.822915462648E-12    1.428714109835E2
  2.545315235506E-12    1.428714109826E2
  3.553993468621E-12    1.428714109814E2
  4.962398919712E-12    1.428714109796E2
  6.928938743355E-12    1.428714109772E2
  9.674794970323E-12    1.428714109738E2
  1.350880144633E-11    1.428714109691E2
  1.886217920651E-11    1.428714109625E2
  2.633703706668E-11    1.428714109533E2
  3.677409242364E-11    1.428714109405E2
  5.134722900526E-11    1.428714109225E2
  7.169552673510E-11    1.428714108974E2
  1.001076134663E-10    1.428714108624E2
  1.397790731205E-10    1.428714106874E2
  1.951718616187E-10    1.428714103985E2
  2.725161550819E-10    1.428714103032E2
  3.805110745202E-10    1.428714099254E2
  5.313030994033E-10    1.428714095529E2
  7.418522149230E-10    1.428714091716E2
   1.035839447209E-9    1.428714085304E2
   1.446330332120E-9    1.428714075793E2
   2.019493885127E-9    1.428714060465E2
   2.819795354831E-9    1.428714045219E2
   3.937246803116E-9    1.428714018028E2
   5.497531004188E-9    1.428713982049E2
   7.676137324712E-9    1.428713927882E2
   1.071809948556E-8    1.428713857688E2
   1.496555516438E-8    1.428713761644E2
   2.089622714176E-8    1.428713623047E2
   2.917715406904E-8    1.428713430853E2
   4.073971410214E-8    1.428713160118E2
   5.688437951133E-8    1.428712786411E2
   7.942698430030E-8    1.428712260186E2
   1.109029559474E-7    1.428711531081E2
   1.548524817632E-7    1.428710506287E2
   2.162186832928E-7    1.428709078817E2
   3.019035825100E-7    1.428707086298E2
   4.215443908191E-7    1.428704304355E2
   5.885974321790E-7    1.428700419755E2
   8.218516121032E-7    1.428694992999E2
   1.147541656470E-6    1.428687419604E2
   1.602298801804E-6    1.428676842197E2
   2.237270809114E-6    1.428662073355E2
   3.123874690338E-6    1.428641455407E2
   4.361829172034E-6    1.428612665702E2
   6.090370329147E-6    1.428572466951E2
   8.503911841383E-6    1.428516344468E2
   1.187391122342E-5    1.428437986856E2
   1.657940138272E-5    1.428328590721E2
   2.314962147159E-5    1.428175872081E2
   3.232354184009E-5    1.427962685660E2
   4.513297802170E-5    1.427665116298E2
   6.301864180554E-5    1.427249825913E2
   8.799218197181E-5    1.426670345823E2
   1.228624398484E-4    1.425861991996E2
   1.715513672605E-4    1.424734772236E2
   2.395351390162E-4    1.423163729882E2
   3.344600730367E-4    1.420975693785E2
   4.670026323285E-4    1.417931419323E2
   6.520702355338E-4    1.413701758553E2
   9.104779344586E-4    1.407836559871E2
   1.271289539013E-3    1.399725270197E2
   1.775086502196E-3    1.388549445437E2
   2.478532225415E-3    1.373230041465E2
   3.460745143868E-3    1.352377729656E2
   4.832197390052E-3    1.324263889830E2
   6.747139892053E-3    1.286843784176E2
   9.420951390904E-3    1.237879787553E2
   1.315436266770E-2    1.175222162653E2
   1.836728054456E-2    1.097287931841E2
   2.564601593591E-2    1.003708127591E2
   3.580922781624E-2    8.959807167878E1
   5.000000000000E-2    7.778249597426E1
