#             R [au]        psi_0 [a.u.]
    0.000000000000E0    0.000000000000E0
   6.666888896297E-4   2.407080152534E-9
   1.333377779259E-3   1.925660195782E-8
   2.000066668889E-3   6.499081075672E-8
   2.666755558519E-3   1.540515592685E-7
   3.333444448148E-3   3.008801112856E-7
   4.000133337778E-3   5.199169453745E-7
   4.666822227408E-3   8.256015585860E-7
   5.333511117037E-3   1.232372270176E-6
   6.000200006667E-3   1.754666025338E-6
   6.666888896297E-3   2.406918198956E-6
   7.333577785926E-3   3.203562399367E-6
   8.000266675556E-3   4.159030272147E-6
   8.666955565186E-3   5.287751303923E-6
   9.333644454815E-3   6.604152626203E-6
   1.000033334444E-2   8.122658819232E-6
   1.066702223407E-2   9.857691715879E-6
   1.133371112370E-2   1.182367020556E-5
   1.200040001333E-2   1.403501003817E-5
   1.266708890296E-2   1.650612362811E-5
   1.333377779259E-2   1.925141985823E-5
   1.400046668222E-2   2.228530388398E-5
   1.466715557185E-2   2.562217693746E-5
   1.533384446148E-2   2.927643613155E-5
   1.600053335111E-2   3.326247426418E-5
   1.666722224074E-2   3.759467962245E-5
   1.733391113037E-2   4.228743578704E-5
   1.800060002000E-2   4.735512143647E-5
   1.866728890963E-2   5.281211015153E-5
   1.933397779926E-2   5.867277021973E-5
   2.000066668889E-2   6.495146443979E-5
   2.066735557852E-2   7.166254992624E-5
   2.133404446815E-2   7.882037791406E-5
   2.200073335778E-2   8.643929356334E-5
   2.266742224741E-2   9.453363576407E-5
   2.333411113704E-2   1.031177369410E-4
   2.400080002667E-2   1.122059228586E-4
   2.466748891630E-2   1.218125124257E-4
   2.533417780593E-2   1.319518175012E-4
   2.600086669556E-2   1.426381426987E-4
   2.666755558519E-2   1.538857851916E-4
   2.733424447482E-2   1.657090345189E-4
   2.800093336445E-2   1.781221723904E-4
   2.866762225408E-2   1.911394724919E-4
   2.933431114370E-2   2.047752002912E-4
   3.000100003333E-2   2.190436128431E-4
   3.066768892296E-2   2.339589585962E-4
   3.133437781259E-2   2.495354771975E-4
   3.200106670222E-2   2.657873992993E-4
   3.266775559185E-2   2.827289463649E-4
   3.333444448148E-2   3.003743304745E-4
   3.400113337111E-2   3.187377541319E-4
   3.466782226074E-2   3.378334100705E-4
   3.533451115037E-2   3.576754810600E-4
   3.600120004000E-2   3.782781397127E-4
   3.666788892963E-2   3.996555482904E-4
   3.733457781926E-2   4.218218585114E-4
   3.800126670889E-2   4.447912113567E-4
   3.866795559852E-2   4.685777368778E-4
   3.933464448815E-2   4.931955540036E-4
   4.000133337778E-2   5.186587703473E-4
   4.066802226741E-2   5.449814820146E-4
   4.133471115704E-2   5.721777734103E-4
   4.200140004667E-2   6.002617170468E-4
   4.266808893630E-2   6.292473733514E-4
   4.333477782593E-2   6.591487904742E-4
   4.400146671556E-2   6.899800040965E-4
   4.466815560519E-2   7.217550372389E-4
   4.533484449482E-2   7.544879000694E-4
   4.600153338445E-2   7.881925897121E-4
   4.666822227408E-2   8.228830900559E-4
   4.733491116371E-2   8.585733715631E-4
   4.800160005334E-2   8.952773910783E-4
   4.866828894296E-2   9.330090916379E-4
   4.933497783259E-2   9.717824022786E-4
   5.000166672222E-2   1.011611237847E-3
   5.066835561185E-2   1.052509498811E-3
   5.133504450148E-2   1.094491071066E-3
