#             e [au]            f [a.u.]
   -1.200500000000E1  -9.999999938505E-1
   -1.199298298298E1  -9.999999937898E-1
   -1.198096596597E1  -9.999999937285E-1
   -1.196894894895E1  -9.999999936666E-1
   -1.195693193193E1  -9.999999936041E-1
   -1.194491491491E1  -9.999999935409E-1
   -1.193289789790E1  -9.999999934771E-1
   -1.192088088088E1  -9.999999934125E-1
   -1.190886386386E1  -9.999999933474E-1
   -1.189684684685E1  -9.999999932815E-1
   -1.188482982983E1  -9.999999932149E-1
   -1.187281281281E1  -9.999999931477E-1
   -1.186079579580E1  -9.999999930797E-1
   -1.184877877878E1  -9.999999930111E-1
   -1.183676176176E1  -9.999999929417E-1
   -1.182474474474E1  -9.999999928716E-1
   -1.181272772773E1  -9.999999928008E-1
   -1.180071071071E1  -9.999999927292E-1
   -1.178869369369E1  -9.999999926569E-1
   -1.177667667668E1  -9.999999925838E-1
   -1.176465965966E1  -9.999999925100E-1
   -1.175264264264E1  -9.999999924354E-1
   -1.174062562563E1  -9.999999923600E-1
   -1.172860860861E1  -9.999999922838E-1
   -1.171659159159E1  -9.999999922068E-1
   -1.170457457457E1  -9.999999921291E-1
   -1.169255755756E1  -9.999999920504E-1
   -1.168054054054E1  -9.999999919710E-1
   -1.166852352352E1  -9.999999918907E-1
   -1.165650650651E1  -9.999999918096E-1
   -1.164448948949E1  -9.999999917277E-1
   -1.163247247247E1  -9.999999916448E-1
   -1.162045545546E1  -9.999999915611E-1
   -1.160843843844E1  -9.999999914765E-1
   -1.159642142142E1  -9.999999913911E-1
   -1.158440440440E1  -9.999999913047E-1
   -1.157238738739E1  -9.999999912174E-1
   -1.156037037037E1  -9.999999911292E-1
   -1.154835335335E1  -9.999999910400E-1
   -1.153633633634E1  -9.999999909499E-1
   -1.152431931932E1  -9.999999908589E-1
   -1.151230230230E1  -9.999999907669E-1
   -1.150028528529E1  -9.999999906739E-1
   -1.148826826827E1  -9.999999905799E-1
   -1.147625125125E1  -9.999999904850E-1
   -1.146423423423E1  -9.999999903890E-1
   -1.145221721722E1  -9.999999902920E-1
   -1.144020020020E1  -9.999999901940E-1
   -1.142818318318E1  -9.999999900949E-1
