#             R [au]        psi_0 [a.u.]
    0.000000000000E0    0.000000000000E0
   3.333444448148E-3   5.275037599165E-3
   6.666888896297E-3   1.054987834794E-2
   1.000033334444E-2   1.582432540968E-2
   1.333377779259E-2   2.109818197479E-2
   1.666722224074E-2   2.637125127389E-2
   2.000066668889E-2   3.164333659109E-2
   2.333411113704E-2   3.691424127716E-2
   2.666755558519E-2   4.218376876275E-2
   3.000100003333E-2   4.745172257161E-2
   3.333444448148E-2   5.271790633373E-2
   3.666788892963E-2   5.798212379856E-2
   4.000133337778E-2   6.324417884814E-2
   4.333477782593E-2   6.850387551029E-2
   4.666822227408E-2   7.376101797171E-2
   5.000166672222E-2   7.901541059113E-2
   5.333511117037E-2   8.426685791239E-2
   5.666855561852E-2   8.951516467754E-2
   6.000200006667E-2   9.476013583990E-2
   6.333544451482E-2   1.000015765771E-1
   6.666888896297E-2   1.052392923041E-1
   7.000233341111E-2   1.104730886862E-1
   7.333577785926E-2   1.157027716519E-1
   7.666922230741E-2   1.209281474062E-1
   8.000266675556E-2   1.261490224428E-1
   8.333611120371E-2   1.313652035580E-1
   8.666955565186E-2   1.365764978625E-1
   9.000300010000E-2   1.417827127950E-1
   9.333644454815E-2   1.469836561345E-1
   9.666988899630E-2   1.521791360135E-1
   1.000033334444E-1   1.573689609302E-1
   1.033367778926E-1   1.625529397616E-1
   1.066702223407E-1   1.677308817760E-1
   1.100036667889E-1   1.729025966455E-1
   1.133371112370E-1   1.780678944588E-1
   1.166705556852E-1   1.832265857333E-1
   1.200040001333E-1   1.883784814280E-1
   1.233374445815E-1   1.935233929559E-1
   1.266708890296E-1   1.986611321959E-1
   1.300043334778E-1   2.037915115057E-1
   1.333377779259E-1   2.089143437338E-1
   1.366712223741E-1   2.140294422319E-1
   1.400046668222E-1   2.191366208667E-1
   1.433381112704E-1   2.242356940326E-1
   1.466715557185E-1   2.293264766632E-1
   1.500050001667E-1   2.344087842438E-1
   1.533384446148E-1   2.394824328231E-1
   1.566718890630E-1   2.445472390251E-1
   1.600053335111E-1   2.496030200611E-1
   1.633387779593E-1   2.546495937413E-1
   1.666722224074E-1   2.596867784867E-1
   1.700056668556E-1   2.647143933407E-1
   1.733391113037E-1   2.697322579807E-1
   1.766725557519E-1   2.747401927294E-1
   1.800060002000E-1   2.797380185669E-1
   1.833394446482E-1   2.847255571413E-1
   1.866728890963E-1   2.897026307807E-1
   1.900063335445E-1   2.946690625041E-1
   1.933397779926E-1   2.996246760328E-1
   1.966732224407E-1   3.045692958013E-1
   2.000066668889E-1   3.095027469686E-1
   2.033401113370E-1   3.144248554289E-1
   2.066735557852E-1   3.193354478229E-1
   2.100070002333E-1   3.242343515483E-1
   2.133404446815E-1   3.291213947705E-1
   2.166738891296E-1   3.339964064336E-1
   2.200073335778E-1   3.388592162710E-1
   2.233407780259E-1   3.437096548154E-1
   2.266742224741E-1   3.485475534099E-1
   2.300076669222E-1   3.533727442178E-1
   2.333411113704E-1   3.581850602334E-1
