#             e [au]            f [a.u.]
   -2.999865764590E0  -9.998888641264E-1
   -2.996862895957E0  -9.998883176779E-1
   -2.993860027324E0  -9.998877682669E-1
   -2.990857158691E0  -9.998872158757E-1
   -2.987854290057E0  -9.998866604864E-1
   -2.984851421424E0  -9.998861020811E-1
   -2.981848552791E0  -9.998855406418E-1
   -2.978845684158E0  -9.998849761503E-1
   -2.975842815524E0  -9.998844085882E-1
   -2.972839946891E0  -9.998838379373E-1
   -2.969837078258E0  -9.998832641790E-1
   -2.966834209625E0  -9.998826872946E-1
   -2.963831340992E0  -9.998821072654E-1
   -2.960828472358E0  -9.998815240724E-1
   -2.957825603725E0  -9.998809376967E-1
   -2.954822735092E0  -9.998803481191E-1
   -2.951819866459E0  -9.998797553202E-1
   -2.948816997825E0  -9.998791592808E-1
   -2.945814129192E0  -9.998785599813E-1
   -2.942811260559E0  -9.998779574019E-1
   -2.939808391926E0  -9.998773515230E-1
   -2.936805523293E0  -9.998767423247E-1
   -2.933802654659E0  -9.998761297867E-1
   -2.930799786026E0  -9.998755138890E-1
   -2.927796917393E0  -9.998748946113E-1
   -2.924794048760E0  -9.998742719330E-1
   -2.921791180126E0  -9.998736458336E-1
   -2.918788311493E0  -9.998730162924E-1
   -2.915785442860E0  -9.998723832884E-1
   -2.912782574227E0  -9.998717468007E-1
   -2.909779705594E0  -9.998711068081E-1
   -2.906776836960E0  -9.998704632894E-1
   -2.903773968327E0  -9.998698162230E-1
   -2.900771099694E0  -9.998691655874E-1
   -2.897768231061E0  -9.998685113610E-1
   -2.894765362427E0  -9.998678535218E-1
   -2.891762493794E0  -9.998671920477E-1
   -2.888759625161E0  -9.998665269167E-1
   -2.885756756528E0  -9.998658581065E-1
   -2.882753887895E0  -9.998651855945E-1
   -2.879751019261E0  -9.998645093582E-1
   -2.876748150628E0  -9.998638293748E-1
   -2.873745281995E0  -9.998631456213E-1
   -2.870742413362E0  -9.998624580747E-1
   -2.867739544728E0  -9.998617667119E-1
   -2.864736676095E0  -9.998610715093E-1
   -2.861733807462E0  -9.998603724434E-1
   -2.858730938829E0  -9.998596694906E-1
   -2.855728070196E0  -9.998589626270E-1
   -2.852725201562E0  -9.998582518286E-1
   -2.849722332929E0  -9.998575370711E-1
   -2.846719464296E0  -9.998568183302E-1
   -2.843716595663E0  -9.998560955814E-1
   -2.840713727029E0  -9.998553688001E-1
