#             E [au]      sigma_0 [au^2]      sigma_1 [au^2]    sigma_tot [au^2]
    0.000000000000E0                 NaN                 NaN                 NaN
   5.000000000000E-4    1.370914538636E2   6.198592870436E-3    1.370976524565E2
   1.000000000000E-3    1.365713769644E2   2.445299196508E-2    1.365958299564E2
   1.500000000000E-3    1.360530334318E2   5.426861022286E-2    1.361073020420E2
   2.000000000000E-3    1.355364182424E2   9.517313915297E-2    1.356315913815E2
   2.500000000000E-3    1.350215263826E2   1.467153300621E-1    1.351682417126E2
   3.000000000000E-3    1.345083528614E2   2.084638549015E-1    1.347168167163E2
   3.500000000000E-3    1.339968926696E2   2.800062394773E-1    1.342768989091E2
   4.000000000000E-3    1.334871408603E2   3.609478650196E-1    1.338480887253E2
   4.500000000000E-3    1.329790924622E2   4.509110317136E-1    1.334300034939E2
   5.000000000000E-3    1.324727425294E2   5.495340815640E-1    1.330222766110E2
   5.500000000000E-3    1.319680861270E2   6.564705739250E-1    1.326245567009E2
   6.000000000000E-3    1.314651183380E2   7.713885123292E-1    1.322365068503E2
   6.500000000000E-3    1.309638342480E2   8.939696170121E-1    1.318578038650E2
   7.000000000000E-3    1.304642289625E2    1.023908641220E0    1.314881376037E2
   7.500000000000E-3    1.299662975934E2    1.160912729129E0    1.311272103225E2
   8.000000000000E-3    1.294700352764E2    1.304700808632E0    1.307747360850E2
   8.500000000000E-3    1.289754371538E2    1.455003022276E0    1.304304401761E2
   9.000000000000E-3    1.284824983725E2    1.611560188226E0    1.300940585607E2
   9.500000000000E-3    1.279912141031E2    1.774123293872E0    1.297653373970E2
   1.000000000000E-2    1.275015795287E2    1.942453018158E0    1.294440325469E2
   1.050000000000E-2    1.270135898343E2    2.116319276866E0    1.291299091112E2
   1.100000000000E-2    1.265272402244E2    2.295500799134E0    1.288227410236E2
   1.150000000000E-2    1.260425259118E2    2.479784721352E0    1.285223106331E2
   1.200000000000E-2    1.255594421285E2    2.668966207082E0    1.282284083356E2
   1.250000000000E-2    1.250779841229E2    2.862848085910E0    1.279408322088E2
   1.300000000000E-2    1.245981471325E2    3.061240508642E0    1.276593876411E2
   1.350000000000E-2    1.241199264422E2    3.263960629955E0    1.273838870721E2
   1.400000000000E-2    1.236433173095E2    3.470832294666E0    1.271141496042E2
   1.450000000000E-2    1.231683150374E2    3.681685750678E0    1.268500007881E2
   1.500000000000E-2    1.226949149249E2    3.896357373315E0    1.265912722982E2
   1.550000000000E-2    1.222231122867E2    4.114689401554E0    1.263378016883E2
   1.600000000000E-2    1.217529024447E2    4.336529691240E0    1.260894321360E2
   1.650000000000E-2    1.212842807382E2    4.561731478249E0    1.258460122164E2
   1.700000000000E-2    1.208172425208E2    4.790153153006E0    1.256073956738E2
   1.750000000000E-2    1.203517831545E2    5.021658050470E0    1.253734412050E2
   1.800000000000E-2    1.198878980153E2    5.256114244802E0    1.251440122601E2
   1.850000000000E-2    1.194255824808E2    5.493394355220E0    1.249189768360E2
   1.900000000000E-2    1.189648319645E2    5.733375368828E0    1.246982073333E2
   1.950000000000E-2    1.185056418641E2    5.975938454787E0    1.244815803189E2
