#             E [au]         delta_0 [1]         delta_1 [1]
    0.000000000000E0   -0.000000000000E0                 NaN
   5.000000000000E-4  -1.046388805818E-1  -4.054908033511E-4
   1.000000000000E-3  -1.479707606034E-1  -1.138978522997E-3
   1.500000000000E-3  -1.812129880247E-1  -2.078115733667E-3
   2.000000000000E-3  -2.092311961836E-1  -3.177769294405E-3
   2.500000000000E-3  -2.339101970429E-1  -4.411218790869E-3
   3.000000000000E-3  -2.562167100213E-1  -5.760071171244E-3
   3.500000000000E-3  -2.767250531811E-1  -7.210594591809E-3
   4.000000000000E-3  -2.958094537750E-1  -8.751998148577E-3
   4.500000000000E-3  -3.137298696057E-1  -1.037549720451E-2
   5.000000000000E-3  -3.306755878566E-1  -1.207375359313E-2
   5.500000000000E-3  -3.467895151457E-1  -1.384051596872E-2
   6.000000000000E-3  -3.621826834794E-1  -1.567037615765E-2
   6.500000000000E-3  -3.769433969011E-1  -1.755859704477E-2
   7.000000000000E-3  -3.911432569298E-1  -1.950098683549E-2
   7.500000000000E-3  -4.048412775064E-1  -2.149380461729E-2
   8.000000000000E-3  -4.180867815377E-1  -2.353368772317E-2
   8.500000000000E-3  -4.309214928786E-1  -2.561759478891E-2
   9.000000000000E-3  -4.433810811709E-1  -2.774276030065E-2
   9.500000000000E-3  -4.554963249316E-1  -2.990665780617E-2
   1.000000000000E-2  -4.672940021550E-1  -3.210696973547E-2
   1.050000000000E-2  -4.787975826416E-1  -3.434156232503E-2
   1.100000000000E-2  -4.900277735327E-1  -3.660846464166E-2
   1.150000000000E-2  -5.010029543031E-1  -3.890585078722E-2
   1.200000000000E-2  -5.117395274971E-1  -4.123202474653E-2
   1.250000000000E-2  -5.222522042771E-1  -4.358540735135E-2
   1.300000000000E-2  -5.325542389728E-1  -4.596452497681E-2
   1.350000000000E-2  -5.426576235690E-1  -4.836799976682E-2
   1.400000000000E-2  -5.525732497603E-1  -5.079454097892E-2
   1.450000000000E-2  -5.623110454946E-1  -5.324293744085E-2
   1.500000000000E-2  -5.718800902279E-1  -5.571205085409E-2
   1.550000000000E-2  -5.812887131734E-1  -5.820080982953E-2
   1.600000000000E-2  -5.905445773285E-1  -6.070820459276E-2
