#             R [au]           V(R) [au]
    0.000000000000E0   -2.999876590196E0
   3.334444814938E-3   -2.999865758833E0
   6.668889629877E-3   -2.999838202364E0
   1.000333444481E-2   -2.999793920364E0
   1.333777925975E-2   -2.999732912670E0
   1.667222407469E-2   -2.999655179384E0
   2.000666888963E-2   -2.999560720872E0
   2.334111370457E-2   -2.999449537763E0
   2.667555851951E-2   -2.999321630950E0
   3.001000333444E-2   -2.999177001590E0
   3.334444814938E-2   -2.999015651101E0
   3.667889296432E-2   -2.998837581165E0
   4.001333777926E-2   -2.998642793726E0
   4.334778259420E-2   -2.998431290990E0
   4.668222740914E-2   -2.998203075425E0
   5.001667222407E-2   -2.997958149759E0
   5.335111703901E-2   -2.997696516983E0
   5.668556185395E-2   -2.997418180349E0
   6.002000666889E-2   -2.997123143366E0
   6.335445148383E-2   -2.996811409807E0
   6.668889629877E-2   -2.996482983703E0
   7.002334111370E-2   -2.996137869342E0
   7.335778592864E-2   -2.995776071275E0
   7.669223074358E-2   -2.995397594309E0
   8.002667555852E-2   -2.995002443510E0
   8.336112037346E-2   -2.994590624199E0
   8.669556518840E-2   -2.994162141958E0
   9.003001000333E-2   -2.993717002624E0
   9.336445481827E-2   -2.993255212289E0
   9.669889963321E-2   -2.992776777303E0
   1.000333444481E-1   -2.992281704269E0
   1.033677892631E-1   -2.991770000047E0
   1.067022340780E-1   -2.991241671751E0
   1.100366788930E-1   -2.990696726747E0
   1.133711237079E-1   -2.990135172655E0
   1.167055685228E-1   -2.989557017350E0
   1.200400133378E-1   -2.988962268956E0
   1.233744581527E-1   -2.988350935850E0
   1.267089029677E-1   -2.987723026661E0
   1.300433477826E-1   -2.987078550266E0
   1.333777925975E-1   -2.986417515796E0
   1.367122374125E-1   -2.985739932626E0
   1.400466822274E-1   -2.985045810385E0
   1.433811270423E-1   -2.984335158946E0
   1.467155718573E-1   -2.983607988432E0
   1.500500166722E-1   -2.982864309211E0
   1.533844614872E-1   -2.982104131898E0
   1.567189063021E-1   -2.981327467355E0
   1.600533511170E-1   -2.980534326686E0
   1.633877959320E-1   -2.979724721241E0
   1.667222407469E-1   -2.978898662612E0
   1.700566855619E-1   -2.978056162637E0
   1.733911303768E-1   -2.977197233391E0
   1.767255751917E-1   -2.976321887195E0
   1.800600200067E-1   -2.975430136608E0
   1.833944648216E-1   -2.974521994429E0
   1.867289096365E-1   -2.973597473697E0
   1.900633544515E-1   -2.972656587688E0
   1.933977992664E-1   -2.971699349917E0
   1.967322440814E-1   -2.970725774134E0
   2.000666888963E-1   -2.969735874327E0
   2.034011337112E-1   -2.968729664716E0
   2.067355785262E-1   -2.967707159759E0
   2.100700233411E-1   -2.966668374145E0
   2.134044681561E-1   -2.965613322796E0
   2.167389129710E-1   -2.964542020865E0
   2.200733577859E-1   -2.963454483737E0
   2.234078026009E-1   -2.962350727028E0
   2.267422474158E-1   -2.961230766580E0
   2.300766922307E-1   -2.960094618466E0
   2.334111370457E-1   -2.958942298984E0
   2.367455818606E-1   -2.957773824660E0
   2.400800266756E-1   -2.956589212245E0
   2.434144714905E-1   -2.955388478714E0
   2.467489163054E-1   -2.954171641266E0
   2.500833611204E-1   -2.952938717322E0
   2.534178059353E-1   -2.951689724525E0
   2.567522507503E-1   -2.950424680739E0
   2.600866955652E-1   -2.949143604045E0
   2.634211403801E-1   -2.947846512747E0
   2.667555851951E-1   -2.946533425362E0
   2.700900300100E-1   -2.945204360626E0
   2.734244748249E-1   -2.943859337490E0
   2.767589196399E-1   -2.942498375120E0
   2.800933644548E-1   -2.941121492894E0
   2.834278092698E-1   -2.939728710403E0
   2.867622540847E-1   -2.938320047448E0
   2.900966988996E-1   -2.936895524043E0
   2.934311437146E-1   -2.935455160408E0
   2.967655885295E-1   -2.933998976972E0
   3.001000333444E-1   -2.932526994370E0
   3.034344781594E-1   -2.931039233444E0
   3.067689229743E-1   -2.929535715239E0
   3.101033677893E-1   -2.928016461005E0
   3.134378126042E-1   -2.926481492191E0
   3.167722574191E-1   -2.924930830451E0
   3.201067022341E-1   -2.923364497634E0
   3.234411470490E-1   -2.921782515792E0
   3.267755918640E-1   -2.920184907171E0
   3.301100366789E-1   -2.918571694214E0
   3.334444814938E-1   -2.916942899561E0
   3.367789263088E-1   -2.915298546042E0
   3.401133711237E-1   -2.913638656682E0
   3.434478159386E-1   -2.911963254695E0
   3.467822607536E-1   -2.910272363486E0
   3.501167055685E-1   -2.908566006650E0
   3.534511503835E-1   -2.906844207965E0
   3.567855951984E-1   -2.905106991398E0
   3.601200400133E-1   -2.903354381101E0
   3.634544848283E-1   -2.901586401407E0
   3.667889296432E-1   -2.899803076832E0
   3.701233744582E-1   -2.898004432072E0
   3.734578192731E-1   -2.896190492004E0
   3.767922640880E-1   -2.894361281681E0
   3.801267089030E-1   -2.892516826332E0
   3.834611537179E-1   -2.890657151362E0
   3.867955985328E-1   -2.888782282350E0
   3.901300433478E-1   -2.886892245047E0
   3.934644881627E-1   -2.884987065373E0
   3.967989329777E-1   -2.883066769420E0
   4.001333777926E-1   -2.881131383447E0
   4.034678226075E-1   -2.879180933877E0
   4.068022674225E-1   -2.877215447303E0
   4.101367122374E-1   -2.875234950476E0
   4.134711570524E-1   -2.873239470314E0
   4.168056018673E-1   -2.871229033892E0
   4.201400466822E-1   -2.869203668445E0
   4.234744914972E-1   -2.867163401366E0
   4.268089363121E-1   -2.865108260205E0
   4.301433811270E-1   -2.863038272664E0
   4.334778259420E-1   -2.860953466601E0
   4.368122707569E-1   -2.858853870021E0
   4.401467155719E-1   -2.856739511084E0
   4.434811603868E-1   -2.854610418095E0
   4.468156052017E-1   -2.852466619506E0
   4.501500500167E-1   -2.850308143915E0
   4.534844948316E-1   -2.848135020064E0
   4.568189396465E-1   -2.845947276835E0
   4.601533844615E-1   -2.843744943251E0
   4.634878292764E-1   -2.841528048476E0
   4.668222740914E-1   -2.839296621808E0
   4.701567189063E-1   -2.837050692681E0
   4.734911637212E-1   -2.834790290665E0
   4.768256085362E-1   -2.832515445459E0
   4.801600533511E-1   -2.830226186894E0
   4.834944981661E-1   -2.827922544930E0
   4.868289429810E-1   -2.825604549654E0
   4.901633877959E-1   -2.823272231278E0
   4.934978326109E-1   -2.820925620137E0
   4.968322774258E-1   -2.818564746690E0
   5.001667222407E-1   -2.816189641515E0
   5.035011670557E-1   -2.813800335309E0
   5.068356118706E-1   -2.811396858884E0
   5.101700566856E-1   -2.808979243170E0
   5.135045015005E-1   -2.806547519208E0
   5.168389463154E-1   -2.804101718153E0
   5.201733911304E-1   -2.801641871266E0
   5.235078359453E-1   -2.799168009921E0
   5.268422807603E-1   -2.796680165593E0
   5.301767255752E-1   -2.794178369866E0
   5.335111703901E-1   -2.791662654424E0
   5.368456152051E-1   -2.789133051053E0
   5.401800600200E-1   -2.786589591637E0
   5.435145048349E-1   -2.784032308159E0
   5.468489496499E-1   -2.781461232696E0
   5.501833944648E-1   -2.778876397419E0
   5.535178392798E-1   -2.776277834591E0
   5.568522840947E-1   -2.773665576565E0
   5.601867289096E-1   -2.771039655781E0
   5.635211737246E-1   -2.768400104767E0
   5.668556185395E-1   -2.765746956134E0
   5.701900633545E-1   -2.763080242577E0
   5.735245081694E-1   -2.760399996868E0
   5.768589529843E-1   -2.757706251863E0
   5.801933977993E-1   -2.754999040491E0
   5.835278426142E-1   -2.752278395757E0
   5.868622874291E-1   -2.749544350739E0
   5.901967322441E-1   -2.746796938588E0
   5.935311770590E-1   -2.744036192521E0
   5.968656218740E-1   -2.741262145824E0
   6.002000666889E-1   -2.738474831849E0
   6.035345115038E-1   -2.735674284010E0
   6.068689563188E-1   -2.732860535785E0
   6.102034011337E-1   -2.730033620708E0
   6.135378459486E-1   -2.727193572375E0
   6.168722907636E-1   -2.724340424433E0
   6.202067355785E-1   -2.721474210588E0
   6.235411803935E-1   -2.718594964593E0
   6.268756252084E-1   -2.715702720253E0
   6.302100700233E-1   -2.712797511423E0
   6.335445148383E-1   -2.709879371999E0
   6.368789596532E-1   -2.706948335927E0
   6.402134044682E-1   -2.704004437189E0
   6.435478492831E-1   -2.701047709811E0
   6.468822940980E-1   -2.698078187857E0
   6.502167389130E-1   -2.695095905425E0
   6.535511837279E-1   -2.692100896647E0
   6.568856285428E-1   -2.689093195691E0
   6.602200733578E-1   -2.686072836750E0
   6.635545181727E-1   -2.683039854048E0
   6.668889629877E-1   -2.679994281835E0
   6.702234078026E-1   -2.676936154384E0
   6.735578526175E-1   -2.673865505991E0
   6.768922974325E-1   -2.670782370972E0
   6.802267422474E-1   -2.667686783661E0
   6.835611870624E-1   -2.664578778408E0
   6.868956318773E-1   -2.661458389577E0
   6.902300766922E-1   -2.658325651543E0
   6.935645215072E-1   -2.655180598694E0
   6.968989663221E-1   -2.652023265424E0
   7.002334111370E-1   -2.648853686133E0
   7.035678559520E-1   -2.645671895225E0
   7.069023007669E-1   -2.642477927106E0
   7.102367455819E-1   -2.639271816183E0
   7.135711903968E-1   -2.636053596860E0
   7.169056352117E-1   -2.632823303538E0
   7.202400800267E-1   -2.629580970609E0
   7.235745248416E-1   -2.626326632462E0
   7.269089696566E-1   -2.623060323470E0
   7.302434144715E-1   -2.619782077999E0
   7.335778592864E-1   -2.616491930398E0
   7.369123041014E-1   -2.613189915001E0
   7.402467489163E-1   -2.609876066122E0
   7.435811937312E-1   -2.606550418059E0
   7.469156385462E-1   -2.603213005082E0
   7.502500833611E-1   -2.599863861443E0
   7.535845281761E-1   -2.596503021362E0
   7.569189729910E-1   -2.593130519036E0
   7.602534178059E-1   -2.589746388628E0
   7.635878626209E-1   -2.586350664271E0
   7.669223074358E-1   -2.582943380064E0
   7.702567522508E-1   -2.579524570067E0
   7.735911970657E-1   -2.576094268306E0
   7.769256418806E-1   -2.572652508763E0
   7.802600866956E-1   -2.569199325381E0
   7.835945315105E-1   -2.565734752057E0
   7.869289763254E-1   -2.562258822643E0
   7.902634211404E-1   -2.558771570943E0
   7.935978659553E-1   -2.555273030710E0
   7.969323107703E-1   -2.551763235646E0
   8.002667555852E-1   -2.548242219399E0
   8.036012004001E-1   -2.544710015561E0
   8.069356452151E-1   -2.541166657667E0
   8.102700900300E-1   -2.537612179190E0
   8.136045348449E-1   -2.534046613545E0
   8.169389796599E-1   -2.530469994080E0
   8.202734244748E-1   -2.526882354081E0
   8.236078692898E-1   -2.523283726763E0
   8.269423141047E-1   -2.519674145273E0
   8.302767589196E-1   -2.516053642690E0
   8.336112037346E-1   -2.512422252015E0
   8.369456485495E-1   -2.508780006177E0
   8.402800933645E-1   -2.505126938028E0
   8.436145381794E-1   -2.501463080341E0
   8.469489829943E-1   -2.497788465808E0
   8.502834278093E-1   -2.494103127040E0
   8.536178726242E-1   -2.490407096562E0
   8.569523174391E-1   -2.486700406815E0
   8.602867622541E-1   -2.482983090150E0
   8.636212070690E-1   -2.479255178831E0
   8.669556518840E-1   -2.475516705028E0
   8.702900966989E-1   -2.471767700819E0
   8.736245415138E-1   -2.468008198187E0
   8.769589863288E-1   -2.464238229019E0
   8.802934311437E-1   -2.460457825102E0
   8.836278759587E-1   -2.456667018124E0
   8.869623207736E-1   -2.452865839670E0
   8.902967655885E-1   -2.449054321222E0
   8.936312104035E-1   -2.445232494156E0
   8.969656552184E-1   -2.441400389741E0
   9.003001000333E-1   -2.437558039139E0
   9.036345448483E-1   -2.433705473399E0
   9.069689896632E-1   -2.429842723460E0
   9.103034344782E-1   -2.425969820145E0
   9.136378792931E-1   -2.422086794164E0
   9.169723241080E-1   -2.418193676108E0
   9.203067689230E-1   -2.414290496451E0
   9.236412137379E-1   -2.410377285545E0
   9.269756585529E-1   -2.406454073624E0
   9.303101033678E-1   -2.402520890794E0
   9.336445481827E-1   -2.398577767039E0
   9.369789929977E-1   -2.394624732216E0
   9.403134378126E-1   -2.390661816054E0
   9.436478826275E-1   -2.386689048154E0
   9.469823274425E-1   -2.382706457984E0
   9.503167722574E-1   -2.378714074880E0
   9.536512170724E-1   -2.374711928047E0
   9.569856618873E-1   -2.370700046551E0
   9.603201067022E-1   -2.366678459325E0
   9.636545515172E-1   -2.362647195161E0
   9.669889963321E-1   -2.358606282714E0
