#             E [au]      sigma_0 [au^2]
  2.220446049250E-16    1.376132691638E2
  2.959465309178E-16    1.376132691638E2
  3.944448422508E-16    1.376132691638E2
  5.257258231605E-16    1.376132691639E2
  7.007003553670E-16    1.376132691639E2
  9.339107313765E-16    1.376132691639E2
  1.244739277638E-15    1.376132691639E2
  1.659019237322E-15    1.376132691639E2
  2.211181794654E-15    1.376132691639E2
  2.947117681952E-15    1.376132691639E2
  3.927991200123E-15    1.376132691639E2
  5.235323639341E-15    1.376132691639E2
  6.977768587614E-15    1.376132691637E2
  9.300142229301E-15    1.376132691628E2
  1.239545914990E-14    1.376132691628E2
  1.652097395379E-14    1.376132691629E2
  2.201956192838E-14    1.376132691630E2
  2.934821572105E-14    1.376132691630E2
  3.911602641372E-14    1.376132691631E2
  5.213480563664E-14    1.376132691627E2
  6.948655597126E-14    1.376132691623E2
  9.261339716886E-14    1.376132691623E2
  1.234374220346E-13    1.376132691624E2
  1.645204433088E-13    1.376132691619E2
  2.192769082533E-13    1.376132691616E2
  2.922576764694E-13    1.376132691622E2
  3.895282459776E-13    1.376132691624E2
  5.191728622747E-13    1.376132691621E2
  6.919664073295E-13    1.376132691629E2
  9.222699098228E-13    1.376132691627E2
  1.229224103302E-12    1.376132691632E2
  1.638340229953E-12    1.376132691618E2
  2.183620303143E-12    1.376132691608E2
  2.910383045673E-12    1.376132691619E2
  3.879030370046E-12    1.376132691614E2
  5.170067436350E-12    1.376132691609E2
  6.890793509330E-12    1.376132691563E2
  9.184219697866E-12    1.376132691496E2
  1.224095473830E-11    1.376132691480E2
  1.631504665986E-11    1.376132691390E2
  2.174509694743E-11    1.376132691329E2
  2.898240201889E-11    1.376132691380E2
  3.862846088088E-11    1.376132691196E2
  5.148496625825E-11    1.376132691150E2
  6.862043400557E-11    1.376132690945E2
  9.145900843157E-11    1.376132690705E2
  1.218988242279E-10    1.376132690253E2
  1.624697621696E-10    1.376132689873E2
  2.165437098072E-10    1.376132689411E2
  2.886148021077E-10    1.376132688710E2
  3.846729330989E-10    1.376132687649E2
  5.127015814100E-10    1.376132686185E2
  6.833413244406E-10    1.376132684519E2
  9.107741864266E-10    1.376132682081E2
   1.213902319372E-9    1.376132678758E2
   1.617918978092E-9    1.376132674612E2
   2.156402354536E-9    1.376132669093E2
   2.874106291858E-9    1.376132661466E2
   3.830679817020E-9    1.376132651506E2
   5.105624625677E-9    1.376132638283E2
   6.804902540406E-9    1.376132620550E2
   9.069742094149E-9    1.376132596864E2
   1.208837616203E-8    1.376132565152E2
   1.611168616680E-8    1.376132523173E2
   2.147405306204E-8    1.376132467091E2
   2.862114803736E-8    1.376132392336E2
   3.814697265625E-8    1.376132292875E2
   5.084322686627E-8    1.376132160124E2
   6.776510790173E-8    1.376131983234E2
   9.031900868549E-8    1.376131747483E2
   1.203794044239E-7    1.376131433242E2
   1.604446419458E-7    1.376131014366E2
   2.138445795801E-7    1.376130456195E2
   2.850173347093E-7    1.376129712188E2
   3.798781397420E-7    1.376128720486E2
   5.063109624578E-7    1.376127398853E2
   6.748237497401E-7    1.376125637221E2
   8.994217525977E-7    1.376123289250E2
   1.198771515314E-6    1.376120160094E2
   1.597752268920E-6    1.376115989269E2
   2.129523666709E-6    1.376110430303E2
   2.838281713185E-6    1.376103021227E2
   3.782931934186E-6    1.376093146422E2
   5.041985068714E-6    1.376079984957E2
   6.720082167857E-6    1.376062443251E2
   8.956691407708E-6    1.376039063639E2
   1.193769941633E-5    1.376007903238E2
   1.591086048047E-5    1.375966372675E2
   2.120638762965E-5    1.375911021539E2
   2.826439694138E-5    1.375837251302E2
   3.767148598864E-5    1.375738933868E2
   5.020948649764E-5    1.375607903441E2
   6.692044309368E-5    1.375433279969E2
   8.919321857761E-5    1.375200567745E2
   1.188789235764E-4    1.374890456902E2
   1.584447640309E-4    1.374477228949E2
   2.111790929254E-4    1.373926638126E2
   2.814647082948E-4    1.373193098212E2
   3.751431115553E-4    1.372215952834E2
   5.000000000000E-4    1.370914538636E2
