#             e [au]            f [a.u.]
   -1.152000000000E1   -9.599587687122E0
   -1.150846846847E1   -9.594778454179E0
   -1.149693693694E1   -9.589966783062E0
   -1.148540540541E1   -9.585152669998E0
   -1.147387387387E1   -9.580336110804E0
   -1.146234234234E1   -9.575517101683E0
   -1.145081081081E1   -9.570695638419E0
   -1.143927927928E1   -9.565871717196E0
   -1.142774774775E1   -9.561045333752E0
   -1.141621621622E1   -9.556216484254E0
   -1.140468468468E1   -9.551385164418E0
   -1.139315315315E1   -9.546551370356E0
   -1.138162162162E1   -9.541715097772E0
   -1.137009009009E1   -9.536876342751E0
   -1.135855855856E1   -9.532035100956E0
   -1.134702702703E1   -9.527191368445E0
   -1.133549549550E1   -9.522345140847E0
   -1.132396396396E1   -9.517496414194E0
   -1.131243243243E1   -9.512645184080E0
   -1.130090090090E1   -9.507791446499E0
   -1.128936936937E1   -9.502935197019E0
   -1.127783783784E1   -9.498076431604E0
   -1.126630630631E1   -9.493215145782E0
   -1.125477477477E1   -9.488351335485E0
   -1.124324324324E1   -9.483484996323E0
   -1.123171171171E1   -9.478616123862E0
   -1.122018018018E1   -9.473744713997E0
   -1.120864864865E1   -9.468870762163E0
   -1.119711711712E1   -9.463994264210E0
   -1.118558558559E1   -9.459115215546E0
   -1.117405405405E1   -9.454233611976E0
   -1.116252252252E1   -9.449349448876E0
   -1.115099099099E1   -9.444462722021E0
   -1.113945945946E1   -9.439573426732E0
   -1.112792792793E1   -9.434681558763E0
   -1.111639639640E1   -9.429787113391E0
   -1.110486486486E1   -9.424890086333E0
   -1.109333333333E1   -9.419990472826E0
   -1.108180180180E1   -9.415088268541E0
   -1.107027027027E1   -9.410183468688E0
   -1.105873873874E1   -9.405276068888E0
   -1.104720720721E1   -9.400366064322E0
   -1.103567567568E1   -9.395453450557E0
   -1.102414414414E1   -9.390538222736E0
   -1.101261261261E1   -9.385620376384E0
   -1.100108108108E1   -9.380699906600E0
   -1.098954954955E1   -9.375776808878E0
