#             E [au]         delta_0 [1]         delta_1 [1]         delta_2 [1]         delta_3 [1]
    0.000000000000E0    0.000000000000E0                 NaN                 NaN                 NaN
   5.000000000000E-2  -9.055238936427E-1  -8.109749178880E-3  -2.516994214471E-4   2.107911791429E-7
   1.000000000000E-1   -1.153122947464E0  -2.173544806926E-2  -1.321196116003E-3   2.387075366885E-6
   1.500000000000E-1   -1.307563171350E0  -3.795729151884E-2  -3.384077197367E-3   9.878731462861E-6
   2.000000000000E-1   -1.420971197746E0  -5.570487086126E-2  -6.468368547464E-3   2.707790190981E-5
   2.500000000000E-1   -1.511434516815E0  -7.438857666208E-2  -1.054030293349E-2   5.923066902111E-5
   3.000000000000E-1    1.554278619378E0  -9.364113370713E-2  -1.553697291205E-2   1.123444645377E-4
   3.500000000000E-1    1.488458717079E0  -1.132184138965E-1  -2.138272870719E-2   1.931372533842E-4
   4.000000000000E-1    1.429986252858E0  -1.329514461948E-1  -2.799810764264E-2   3.090112671255E-4
   4.500000000000E-1    1.377112710631E0  -1.527200415096E-1  -3.530478761319E-2   4.680437404024E-4
   5.000000000000E-1    1.328647660951E0  -1.724370625727E-1  -4.322827213570E-2   6.789908549514E-4
   5.500000000000E-1    1.283745429249E0  -1.920384895004E-1  -5.169923869659E-2   9.513028762686E-4
   6.000000000000E-1    1.241784396275E0  -2.114768726165E-1  -6.065409134408E-2   1.295149437578E-3
   6.500000000000E-1    1.202294650227E0  -2.307168725332E-1  -7.003504303694E-2   1.721454522769E-3
   7.000000000000E-1    1.164912541373E0  -2.497321402684E-1  -7.978992739018E-2   2.241941108614E-3
   7.500000000000E-1    1.129350998391E0  -2.685030869649E-1  -8.987186328413E-2   2.869185744350E-3
   8.000000000000E-1    1.095379493307E0  -2.870152599056E-1  -1.002388486946E-1   3.616683594939E-3
   8.500000000000E-1    1.062810132568E0  -3.052581418067E-1  -1.108533302429E-1   4.498924731328E-3
   9.000000000000E-1    1.031487762367E0  -3.232242510696E-1  -1.216817764075E-1   5.531482686025E-3
   9.500000000000E-1    1.001282777013E0  -3.409084596657E-1  -1.326942703179E-1   6.731116531525E-3
    1.000000000000E0   9.720857952570E-1  -3.583074710343E-1  -1.438641305540E-1   8.115888020881E-3
    1.050000000000E0   9.438036490525E-1  -3.754194167428E-1  -1.551675636893E-1   9.705295633552E-3
    1.100000000000E0   9.163563187530E-1  -3.922435426425E-1  -1.665833494722E-1   1.152042768790E-2
    1.150000000000E0   8.896745581781E-1  -4.087799629685E-1  -1.780925577311E-1   1.358413711104E-2
    1.200000000000E0   8.636980311353E-1  -4.250294665999E-1  -1.896782952486E-1   1.592124084734E-2
    1.250000000000E0   8.383738352003E-1  -4.409933636466E-1  -2.013254802226E-1   1.855874748074E-2
    1.300000000000E0   8.136553175456E-1  -4.566733635342E-1  -2.130206419458E-1   2.152611718732E-2
    1.350000000000E0   7.895011178491E-1  -4.720714776455E-1  -2.247517430428E-1   2.485555887840E-2
    1.400000000000E0   7.658743878225E-1  -4.871899416009E-1  -2.365080220462E-1   2.858237016546E-2
    1.450000000000E0   7.427421496057E-1  -5.020311529410E-1  -2.482798539826E-1   3.274532681294E-2
    1.500000000000E0   7.200747636108E-1  -5.165976211203E-1  -2.600586269044E-1   3.738712930057E-2
    1.550000000000E0   6.978454870267E-1  -5.308919275125E-1  -2.718366325984E-1   4.255491546736E-2
    1.600000000000E0   6.760301000481E-1  -5.449166933559E-1  -2.836069697761E-1   4.830084960182E-2
    1.650000000000E0   6.546065935721E-1  -5.586745541228E-1  -2.953634582498E-1   5.468279984852E-2
    1.700000000000E0   6.335549023254E-1  -5.721681392154E-1  -3.071005628372E-1   6.176511753643E-2
    1.750000000000E0   6.128566771798E-1  -5.854000558871E-1  -3.188133258250E-1   6.961953387582E-2
