#             R [au]          psi [a.u.]
    0.000000000000E0    0.000000000000E0
   5.002501250625E-3   1.289020906649E-2
   1.000500250125E-2   2.577827624655E-2
   1.500750375188E-2   3.866206000966E-2
   2.001000500250E-2   5.153941953705E-2
   2.501250625313E-2   6.440821507742E-2
   3.001500750375E-2   7.726630830250E-2
   3.501750875438E-2   9.011156266234E-2
   4.002001000500E-2   1.029418437404E-1
   4.502251125563E-2   1.157550196080E-1
   5.002501250625E-2   1.285489611790E-1
   5.502751375688E-2   1.413215425631E-1
   6.003001500750E-2   1.540706414193E-1
   6.503251625813E-2   1.667941393086E-1
   7.003501750875E-2   1.794899220459E-1
   7.503751875938E-2   1.921558800515E-1
   8.004002001001E-2   2.047899087013E-1
   8.504252126063E-2   2.173899086769E-1
   9.004502251126E-2   2.299537863139E-1
   9.504752376188E-2   2.424794539506E-1
   1.000500250125E-1   2.549648302740E-1
   1.050525262631E-1   2.674078406664E-1
   1.100550275138E-1   2.798064175494E-1
   1.150575287644E-1   2.921585007282E-1
   1.200600300150E-1   3.044620377334E-1
   1.250625312656E-1   3.167149841623E-1
   1.300650325163E-1   3.289153040184E-1
   1.350675337669E-1   3.410609700498E-1
   1.400700350175E-1   3.531499640864E-1
   1.450725362681E-1   3.651802773747E-1
   1.500750375188E-1   3.771499109117E-1
   1.550775387694E-1   3.890568757774E-1
   1.600800400200E-1   4.008991934650E-1
   1.650825412706E-1   4.126748962097E-1
   1.700850425213E-1   4.243820273157E-1
   1.750875437719E-1   4.360186414813E-1
   1.800900450225E-1   4.475828051223E-1
   1.850925462731E-1   4.590725966930E-1
   1.900950475238E-1   4.704861070056E-1
   1.950975487744E-1   4.818214395477E-1
   2.001000500250E-1   4.930767107971E-1
   2.051025512756E-1   5.042500505349E-1
   2.101050525263E-1   5.153396021561E-1
   2.151075537769E-1   5.263435229786E-1
   2.201100550275E-1   5.372599845487E-1
   2.251125562781E-1   5.480871729455E-1
   2.301150575288E-1   5.588232890819E-1
   2.351175587794E-1   5.694665490039E-1
   2.401200600300E-1   5.800151841866E-1
   2.451225612806E-1   5.904674418285E-1
   2.501250625313E-1   6.008215851425E-1
   2.551275637819E-1   6.110758936446E-1
   2.601300650325E-1   6.212286634396E-1
   2.651325662831E-1   6.312782075045E-1
   2.701350675338E-1   6.412228559686E-1
   2.751375687844E-1   6.510609563912E-1
   2.801400700350E-1   6.607908740358E-1
   2.851425712856E-1   6.704109921421E-1
   2.901450725363E-1   6.799197121946E-1
   2.951475737869E-1   6.893154541878E-1
   3.001500750375E-1   6.985966568895E-1
   3.051525762881E-1   7.077617780994E-1
   3.101550775388E-1   7.168092949060E-1
   3.151575787894E-1   7.257377039394E-1
   3.201600800400E-1   7.345455216208E-1
   3.251625812906E-1   7.432312844098E-1
   3.301650825413E-1   7.517935490466E-1
   3.351675837919E-1   7.602308927927E-1
   3.401700850425E-1   7.685419136667E-1
   3.451725862931E-1   7.767252306778E-1
   3.501750875438E-1   7.847794840545E-1
   3.551775887944E-1   7.927033354714E-1
   3.601800900450E-1   8.004954682711E-1
   3.651825912956E-1   8.081545876829E-1
   3.701850925463E-1   8.156794210383E-1
   3.751875937969E-1   8.230687179822E-1
   3.801900950475E-1   8.303212506808E-1
   3.851925962981E-1   8.374358140254E-1
   3.901950975488E-1   8.444112258331E-1
   3.951975987994E-1   8.512463270428E-1
   4.002001000500E-1   8.579399819079E-1
   4.052026013007E-1   8.644910781851E-1
   4.102051025513E-1   8.708985273191E-1
   4.152076038019E-1   8.771612646239E-1
   4.202101050525E-1   8.832782494589E-1
   4.252126063032E-1   8.892484654027E-1
   4.302151075538E-1   8.950709204212E-1
   4.352176088044E-1   9.007446470331E-1
   4.402201100550E-1   9.062687024703E-1
   4.452226113057E-1   9.116421688346E-1
   4.502251125563E-1   9.168641532503E-1
   4.552276138069E-1   9.219337880125E-1
   4.602301150575E-1   9.268502307313E-1
   4.652326163082E-1   9.316126644718E-1
   4.702351175588E-1   9.362202978898E-1
   4.752376188094E-1   9.406723653632E-1
   4.802401200600E-1   9.449681271196E-1
   4.852426213107E-1   9.491068693588E-1
   4.902451225613E-1   9.530879043714E-1
   4.952476238119E-1   9.569105706536E-1
   5.002501250625E-1   9.605742330164E-1
   5.052526263132E-1   9.640782826917E-1
   5.102551275638E-1   9.674221374332E-1
